"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"29","Antennaria corymbosa",288,180714772.759479,188886742.994767,1880706187.24282,187917697.260258
"30","Antennaria dimorpha",478,210806843.639076,235321080.175922,2353210801.75922,235203825.60931
"31","Antennaria media",661,458641698.682125,482995508.492537,4829955086.28423,482371472.824638
"32","Antennaria umbrinella",843,276463430.033305,300000079.26255,2949231135.98251,294874352.7283
"33","Apios americana",918,562233133.784021,582734854.470646,5827348544.70646,580207934.807694
"34","Aquilegia barnebyi",50,2489017.87404115,4179316.94837121,41794984.4012099,4028848.00137678
"35","Aquilegia chrysantha",386,89712499.8074787,101923255.522232,1018897323.6915,101561775.362775
"36","Aquilegia micrantha",52,14030806.9299864,16444128.8686258,164443562.996296,16290404.9960464
"37","Arabis fendleri",85,56730291.3817686,59965690.3200723,599657155.491502,59938189.1310244
"38","Arabis pendulina",36,16430751.775049,22236072.4749435,222343017.301612,21713636.8679162
"39","Arceuthobium divaricatum",178,79274242.7116638,88232031.1173788,882320311.173788,88166472.6247327
"40","Arenaria fendleri",343,74117860.573495,86129106.5171794,861064857.869523,86072073.7590941
"41","Arenaria hookeri",101,50836338.1635804,61481472.0792947,614814720.792947,59563405.9675983
"42","Argemone hispida",43,6974426.64578074,10015315.2863128,100153155.998588,9840606.82761387
"43","Argentina anserina",216,1133391393.49854,1485936568.82474,14859365688.2474,1485933130.37928
"44","Aristida oligantha",682,626576583.035446,686539925.374845,6351700032.71731,635149860.079018
"45","Arnica cordifolia",4805,560502628.630916,598004887.633668,5961565396.20063,594724353.488257
"46","Artemisia franserioides",114,34226957.4818647,35308869.0368508,353088690.368508,35152620.2137288
"47","Artemisia longifolia",98,173925458.123263,177535913.279903,1760718796.22886,176070306.825456
"48","Artemisia michauxiana",476,228102648.683916,233242446.611484,2326247695.68586,232618978.15737
"49","Artemisia nova",2799,138886240.411389,147788123.106258,1477881231.06258,146303420.115219
"50","Artemisia parryi",4,NA,NA,269470.985679489,NA
"51","Artemisia pedatifida",38,10970419.7914104,13804003.553426,138040035.53426,13551322.7097795
"52","Asclepias engelmanniana",216,205383788.747183,221026714.011842,2210267140.11842,220985603.552677
"53","Asclepias involucrata",118,122482622.230669,137357582.011538,1373577136.24094,137084985.475295
"54","Asclepias macrotis",95,78301206.4079811,78913958.6094969,789139586.094969,78913955.4894836
