"National_USDASymbol","National_SciName_noAuthority","Ack_SciName_noAuthority","National_NativeStatus","Invasive","CONox_Status","Invasiveness","IRank","IRank_Score"
"BRST2","Bromus sterilis","Bromus sterilis","Introduced",TRUE,NA,NA,"Medium/Low",4
"BRTE","Bromus tectorum","Bromus tectorum","Introduced",TRUE,"List C",4,"High",9
"CASE13","Calystegia sepium","Calystegia sepium","Both",FALSE,NA,NA,NA,NA
"CASAA","Camelina sativa ssp. alyssum ","Camelina alyssum","Introduced",FALSE,NA,NA,NA,NA
"CAMI2","Camelina microcarpa","Camelina microcarpa","Introduced",TRUE,NA,3,NA,NA
"CARU15","Camelina rumelica","Camelina rumelica","Introduced",TRUE,NA,3,NA,NA
"CASA2","Camelina sativa","Camelina sativa","Introduced",FALSE,NA,NA,NA,NA
"CAGL2","Campanula glomerata","Campanula glomerata","Introduced",FALSE,NA,NA,NA,NA
"CARA","Campanula rapunculoides","Campanula rapunculoides","Introduced",TRUE,NA,3,"High/Low",7
"CASAS3","Cannabis sativa ssp. sativa","Cannabis sativa ssp. sativa","Introduced",TRUE,NA,2,"Medium/Low",4
"CABU2","Capsella bursa-pastoris","Capsella bursa-pastoris","Introduced",TRUE,NA,4,"Insignificant",1
"CAAR18","Caragana arborescens","Caragana arborescens","Introduced",TRUE,NA,NA,"High/Low",7
"CAAU10","Caragana aurantiaca","Caragana aurantiaca","Introduced",FALSE,NA,NA,NA,NA
"CAAC","Carduus acanthoides","Carduus acanthoides","Introduced",TRUE,"List B",4,"Medium/Low",4
"CANU4","Carduus nutans","Carduus nutans","Introduced",TRUE,"List B",4,"High/Low",7
"CATI","Carthamus tinctorius","Carthamus tinctorius","Introduced",FALSE,NA,NA,NA,NA
"CACA19","Carum carvi","Carum carvi","Introduced",TRUE,"List B",4,NA,NA
"CECY2","Centaurea cyanus","Centaurea cyanus","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"CEDI3","Centaurea diffusa","Centaurea diffusa","Introduced",TRUE,"List B",4,"High/Medium",8
"CEJA","Centaurea jacea","Centaurea jacea","Introduced",FALSE,NA,NA,NA,NA
"CEMA9","Centaurea macrocephala","Centaurea macrocephala","Introduced",TRUE,NA,4,"Medium/Insignificant",5
"CEMO","Centaurea montana","Centaurea montana","Introduced",FALSE,NA,NA,NA,NA
"CESO3","Centaurea solstitialis","Centaurea solstitialis","Introduced",TRUE,"List A",4,"High/Medium",8
"CESTM","Centaurea stoebe ssp. micranthos","Centaurea stoebe ssp. micranthos","Introduced",TRUE,"List B",4,"High/Medium",8
"CEVI","Centaurea virgata","Centaurea virgata","Introduced",TRUE,"List A",NA,NA,NA
"CEPU3","Centaurium pulchellum","Centaurium pulchellum","Introduced",FALSE,NA,NA,NA,NA
"CEFOV2","Cerastium fontanum ssp. vulgare","Cerastium fontanum ssp. vulgare","Introduced",TRUE,NA,3,NA,NA
"CHMI","Chaenorhinum minus","Chaenorhinum minus","Introduced",FALSE,NA,NA,NA,NA
"CHMAM","Chelidonium majus var. majus","Chelidonium majus var. majus","Introduced",FALSE,NA,NA,NA,NA
"CHAL7","Chenopodium album","Chenopodium album","Both",TRUE,NA,3,NA,NA
"CHALA","Chenopodium album var. album","Chenopodium album var. album","Introduced",FALSE,NA,NA,NA,NA
"CHFO2","Chenopodium foliosum","Chenopodium foliosum","Introduced",FALSE,NA,NA,NA,NA
"CHGL3","Chenopodium glaucum","Chenopodium glaucum","Introduced",TRUE,NA,3,NA,NA
"CHGL3","Chenopodium glaucum","Chenopodium glaucum var. glaucum","Introduced",FALSE,NA,NA,NA,NA
"CHTE2","Chorispora tenella","Chorispora tenella","Introduced",TRUE,NA,4,"Insignificant",1
"GLCO6","Glebionis coronarium","Chrysanthemum coronarium","Introduced",FALSE,NA,NA,NA,NA
"CIIN","Cichorium intybus","Cichorium intybus","Introduced",TRUE,"List C",4,"Medium/Insignificant",5
"CIAR4","Cirsium arvense","Cirsium arvense","Introduced",TRUE,"List B",4,"High/Medium",8
"CIVU","Cirsium vulgare","Cirsium vulgare","Introduced",TRUE,"List B",4,"Medium/Low",4
"CLOR","Clematis orientalis","Clematis orientalis","Introduced",TRUE,"List B",4,"Medium/Insignificant",5
"COAR6","Colutea arborescens","Colutea arborescens","Introduced",FALSE,NA,NA,NA,NA
"COMA2","Conium maculatum","Conium maculatum","Introduced",TRUE,"List C",3,"Medium/Low",4
"COOR","Conringia orientalis","Conringia orientalis","Introduced",FALSE,NA,NA,NA,NA
"COAR4","Convolvulus arvensis","Convolvulus arvensis","Introduced",TRUE,"List C",4,"Medium/Low",4
"COHY","Corispermum hyssopifolium","Corispermum hyssopifolium","Introduced",FALSE,NA,NA,NA,NA
"COBI2","Cosmos bipinnatus","Cosmos bipinnatus","Introduced",TRUE,NA,2,NA,NA
"COLU5","Cotoneaster lucidus","Cotoneaster lucidus","Introduced",FALSE,NA,NA,NA,NA
"CRMO3","Crataegus monogyna","Crataegus monogyna","Introduced",FALSE,NA,NA,NA,NA
"CRCA3","Crepis capillaris","Crepis capillaris","Introduced",TRUE,NA,3,NA,NA
"CRAL2","Crypsis alopecuroides","Crypsis alopecuroides","Introduced",FALSE,NA,NA,NA,NA
"CUAP2","Cuscuta approximata","Cuscuta approximata","Introduced",TRUE,NA,3,"High/Low",7
"CYMU","Cymbalaria muralis",NA,"Introduced",FALSE,NA,NA,NA,NA
"CYDA","Cynodon dactylon","Cynodon dactylon","Introduced",TRUE,NA,2,"Medium/Low",4
"CYOF","Cynoglossum officinale","Cynoglossum officinale","Introduced",TRUE,"List B",4,"Medium/Low",4
"CYES","Cyperus esculentus","Cyperus esculentus","Introduced",TRUE,"List B",4,NA,NA
"DAGL","Dactylis glomerata","Dactylis glomerata","Introduced",TRUE,NA,3,"Medium/Insignificant",5
"DAAE","Dactyloctenium aegyptium","Dactyloctenium aegyptium","Introduced",FALSE,NA,NA,NA,NA
"DAST","Datura stramonium","Datura stramonium","Introduced",TRUE,NA,2,"High/Low",7
"DACA6","Daucus carota","Daucus carota","Introduced",TRUE,NA,2,"Low",3
"DESO2","Descurainia sophia","Descurainia sophia","Introduced",TRUE,NA,3,"Medium/Low",4
"DIAR","Dianthus armeria","Dianthus armeria","Introduced",TRUE,NA,NA,"Low/Insignificant",2
"DIDE","Dianthus deltoides","Dianthus deltoides ssp. deltoides","Introduced",TRUE,NA,NA,"Low/Insignificant",2
"DIPUP2","Digitalis purpurea ssp. purpurea","Digitalis purpurea var. purpurea","Introduced",TRUE,NA,1,"Medium/Insignificant",5
"DIIS","Digitaria ischaemum","Digitaria ischaemum","Introduced",TRUE,NA,3,NA,NA
"DISA","Digitaria sanguinalis","Digitaria sanguinalis","Introduced",TRUE,NA,3,"Low/Insignificant",2
"DIMU2","Diplotaxis muralis","Diplotaxis muralis","Introduced",FALSE,NA,NA,NA,NA
"DIFU2","Dipsacus fullonum","Dipsacus fullonum","Introduced",TRUE,"List B",4,"Medium/Low",4
"DILA4","Dipsacus laciniatus","Dipsacus laciniatus","Introduced",TRUE,"List B",4,"Medium/Low",4
"DYAM","Dysphania ambrosioides","Dysphania ambrosioides","Introduced",FALSE,NA,NA,NA,NA
"DYBO","Dysphania botrys","Dysphania botrys","Introduced",FALSE,NA,NA,NA,NA
"DYGR","Dysphania graveolens","Dysphania graveolens","Both",TRUE,NA,3,NA,NA
"ECCR","Echinochloa crus-galli","Echinochloa crus-galli","Introduced",TRUE,NA,3,"Medium/Insignificant",5
"ECFR","Echinochloa frumentacea","Echinochloa frumentacea","Introduced",FALSE,NA,NA,NA,NA
"ECSP","Echinops sphaerocephalus","Echinops sphaerocephalus","Introduced",TRUE,NA,1,NA,NA
"EICR","Eichhornia crassipes","Eichhornia crassipes","Introduced",FALSE,NA,NA,NA,NA
"ELAN","Elaeagnus angustifolia","Elaeagnus angustifolia","Introduced",TRUE,"List B",4,"High",9
"ELIN3","Eleusine indica","Eleusine indica","Introduced",TRUE,NA,2,NA,NA
"ELRE4","Elymus repens","Elymus repens","Introduced",TRUE,"List C",4,"High/Medium",8
"EPHI","Epilobium hirsutum","Epilobium hirsutum","Introduced",TRUE,"List A",NA,NA,NA
"EPHE","Epipactis helleborine","Epipactis helleborine","Introduced",TRUE,NA,2,"Medium/Low",4
"ERBA2","Eragrostis barrelieri","Eragrostis barrelieri","Introduced",FALSE,NA,NA,NA,NA
"ERCI","Eragrostis cilianensis","Eragrostis cilianensis","Introduced",TRUE,NA,2,"Medium/Insignificant",5
"ERCU2","Eragrostis curvula","Eragrostis curvula","Introduced",TRUE,NA,NA,"Medium/Low",4
"ERMI5","Eragrostis minor","Eragrostis minor","Introduced",FALSE,NA,NA,NA,NA
"ERPI2","Eragrostis pilosa","Eragrostis pilosa","Introduced",FALSE,NA,NA,NA,NA
"ERTR13","Eremopyrum triticeum","Eremopyrum triticeum","Introduced",TRUE,NA,4,NA,NA
"ERCI6","Erodium cicutarium","Erodium cicutarium","Introduced",TRUE,"List C",4,"Medium/Low",4
"ERPL5","Eryngium planum","Eryngium planum","Introduced",FALSE,NA,NA,NA,NA
"ERCH9","Erysimum cheiranthoides","Erysimum cheiranthoides","Introduced",FALSE,NA,NA,NA,NA
"ERRE4","Erysimum repandum","Erysimum repandum","Introduced",TRUE,NA,4,NA,NA
"EUSY","Euclidium syriacum","Euclidium syriacum","Introduced",FALSE,NA,NA,NA,NA
"EUCY2","Euphorbia cyparissias","Euphorbia cyparissias","Introduced",TRUE,"List A",4,"Medium/Low",4
"EUDE4","Euphorbia dentata","Euphorbia dentata","Both",FALSE,NA,NA,NA,NA
"EUES","Euphorbia esula","Euphorbia esula","Introduced",TRUE,"List B",4,"High/Medium",8
"EUMY2","Euphorbia myrsinites","Euphorbia myrsinites","Introduced",TRUE,"List A",4,"Medium/Low",4
"EUPE6","Euphorbia peplus","Euphorbia peplus","Introduced",FALSE,NA,NA,NA,NA
"FAES2","Fagopyrum esculentum","Fagopyrum esculentum","Introduced",FALSE,NA,NA,NA,NA
"POBA3","Polygonum baldschuanicum","Fallopia baldschuanica","Introduced",FALSE,NA,NA,NA,NA
"POCO10","Polygonum convolvulus","Fallopia convolvulus","Introduced",FALSE,NA,NA,NA,NA
"POCU6","Polygonum cuspidatum","Fallopia japonica var. japonica","Introduced",TRUE,"List A",3,"High/Medium",8
"FEBR7","Festuca brevipila","Festuca trachyphylla","Introduced",FALSE,NA,NA,NA,NA
"FIULD2","Filipendula ulmaria ssp. denudata","Filipendula ulmaria ssp. denudata","Introduced",FALSE,NA,NA,NA,NA
"FUVA","Fumaria vaillantii","Fumaria vaillantii","Introduced",FALSE,NA,NA,NA,NA
"GAOF","Galega officinalis","Galega officinalis","Introduced",FALSE,NA,NA,NA,NA
"GABI3","Galeopsis bifida","Galeopsis bifida","Introduced",FALSE,NA,NA,NA,NA
"GALA","Galeopsis ladanum","Galeopsis ladanum","Introduced",FALSE,NA,NA,NA,NA
"GAPA2","Galinsoga parviflora","Galinsoga parviflora var. parviflora","Introduced",FALSE,NA,NA,NA,NA
"GAQU","Galinsoga quadriradiata","Galinsoga quadriradiata","Introduced",FALSE,NA,NA,NA,NA
"GAOD3","Galium odoratum","Galium odoratum","Introduced",TRUE,NA,1,NA,NA
"GAVE","Galium verum","Galium verum","Introduced",TRUE,NA,3,NA,NA
"GEPU2","Geranium pusillum","Geranium pusillum","Introduced",FALSE,NA,NA,NA,NA
"GLCO3","Glaucium corniculatum","Glaucium corniculatum","Introduced",FALSE,NA,NA,NA,NA
"GLFL","Glaucium flavum","Glaucium flavum","Introduced",TRUE,NA,NA,"Medium/Low",4
"GLHE2","Glechoma hederacea","Glechoma hederacea","Introduced",TRUE,NA,NA,"Low",3
"GNUL","Gnaphalium uliginosum","Gnaphalium uliginosum","Introduced",FALSE,NA,NA,NA,NA
"GYEL","Gypsophila elegans","Gypsophila elegans","Introduced",TRUE,NA,2,NA,NA
"GYPA","Gypsophila paniculata","Gypsophila paniculata","Introduced",TRUE,"Watch List",4,"Medium/Low",4
"GYSC","Gypsophila scorzonerifolia","Gypsophila scorzonerifolia","Introduced",TRUE,NA,3,NA,NA
"HAGL","Halogeton glomeratus","Halogeton glomeratus","Introduced",TRUE,"List C",4,"High/Medium",8
"HEFU","Hemerocallis fulva","Hemerocallis fulva","Introduced",FALSE,NA,NA,NA,NA
"HEGL8","Herniaria glabra","Herniaria glabra","Introduced",FALSE,NA,NA,NA,NA
"HEMA3","Hesperis matronalis","Hesperis matronalis","Introduced",TRUE,"List B",4,"Medium/Low",4
"HITR","Hibiscus trionum","Hibiscus trionum","Introduced",TRUE,NA,4,NA,NA
"HIAU","Hieracium aurantiacum","Hieracium aurantiacum","Introduced",TRUE,"List A",4,"Medium/Low",4
"HOLA","Holcus lanatus","Holcus lanatus","Introduced",TRUE,NA,1,"High/Medium",8
"HOUM","Holosteum umbellatum","Holosteum umbellatum ssp. umbellatum","Introduced",FALSE,NA,NA,NA,NA
"HOMU","Hordeum murinum","Hordeum murinum","Introduced",TRUE,NA,NA,"High/Low",7
"HOVU","Hordeum vulgare","Hordeum vulgare","Introduced",TRUE,NA,1,"Low/Insignificant",2
"HYNI","Hyoscyamus niger","Hyoscyamus niger","Introduced",TRUE,"List B",4,"Medium/Insignificant",5
"HYPE","Hypericum perforatum","Hypericum perforatum","Introduced",TRUE,"List C",4,"High/Medium",8
"HYRA3","Hypochaeris radicata","Hypochaeris radicata","Introduced",TRUE,NA,4,"High/Low",7
