MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Natural Communities,24891,Artemisia arbuscula ssp. arbuscula / Festuca idahoensis Shrub Grassland,Artemisia arbuscula ssp. arbuscula  /  Festuca idahoensis Shrub Grassland,Western Slope Sagebrush Shrublands,G5,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,364744,Artemisia arbuscula ssp. longiloba / Elymus lanceolatus Shrubland,Artemisia arbuscula ssp. longiloba  /  Elymus lanceolatus Shrubland,-,GNR,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,24735,Artemisia arbuscula ssp. longiloba / Pascopyrum smithii Shrub Grassland,Artemisia arbuscula ssp. longiloba  /  Pascopyrum smithii Shrub Grassland,Western Slope Sagebrush Shrublands,GU,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,24990,Artemisia arbuscula ssp. longiloba / Poa secunda Shrub Grassland,Artemisia arbuscula ssp. longiloba  /  Poa secunda Shrub Grassland,Western Slope Sagebrush Shrublands,G3Q,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,24487,Artemisia arbuscula ssp. longiloba / Pseudoroegneria spicata Shrub Grassland,Artemisia arbuscula ssp. longiloba  /  Pseudoroegneria spicata Shrub Grassland,Western Slope Sagebrush Shrublands,GNR,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,20885,Artemisia arctica Alpine Snowbed,Artemisia arctica ssp. arctica Alpine Snowbed,Alpine Meadows,GU,SU,N,-,-,-,N,N,Partial Tracking
Natural Communities,24800,Artemisia bigelovii / Achnatherum hymenoides Shrubland,Artemisia bigelovii  /  Achnatherum hymenoides Shrubland,Plains Escarpment Prairies (Limestone Breaks),G3,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364610,Artemisia bigelovii / Bouteloua gracilis Dwarf-shrub Grassland,Artemisia bigelovii  /  Bouteloua gracilis Dwarf - shrub Grassland,-,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24492,Artemisia cana ssp. viscidula / Festuca idahoensis Shrub Wet Meadow,Artemisia cana ssp. viscidula  /  Festuca idahoensis Shrub Wet Meadow,Western Slope Sagebrush Shrublands,G3?,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24930,Artemisia cana ssp. viscidula / Festuca thurberi Shrubland,Artemisia cana ssp. viscidula  /  Festuca thurberi Shrubland,Western Slope Sagebrush Shrublands,G2G3,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24986,Artemisia cana ssp. viscidula / Purshia tridentata Shrubland,Artemisia cana ssp. viscidula  /  Purshia tridentata Shrubland,Western Slope Sagebrush Shrublands,G3,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,44165,"Artemisia filifolia / Bouteloua (curtipendula, gracilis) Shrubland","Artemisia filifolia  /  Bouteloua (curtipendula, gracilis) Shrubland",Sand Sagebrush  /  Grama Shrubland,GNR,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24668,Artemisia filifolia / Schizachyrium scoparium - Andropogon hallii Shrubland,Artemisia filifolia  /  Schizachyrium scoparium  -  Andropogon hallii Shrubland,Northern Sandhill Prairie,G3?,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364688,Artemisia filifolia Colorado Plateau Shrubland,Artemisia filifolia Colorado Plateau Shrubland,-,GNR,S1S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364725,"Artemisia frigida - (Bouteloua gracilis, Achnatherum hymenoides, Poa secunda) - Lichens Rocky Mesa Dwarf-shrubland","Artemisia frigida  -  (Bouteloua gracilis, Achnatherum hymenoides, Poa secunda)  -  Lichens Rocky Mesa Dwarf - shrubland",-,GNR,S3S4,N,-,-,-,N,N,Fully Tracked
Natural Communities,364518,Artemisia frigida / Bouteloua gracilis Dwarf-shrubland,Artemisia frigida  /  Bouteloua gracilis Dwarf - shrubland,-,GNR,S3S4,N,-,-,-,N,N,Fully Tracked
Natural Communities,24714,Artemisia nova / Hesperostipa comata Shrubland,Artemisia nova  /  Hesperostipa comata Shrubland,Western Slope Sagebrush Shrublands,G3?,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24840,Artemisia nova / Leymus salinus Shrub Grassland,Artemisia nova  /  Leymus salinus Shrub Grassland,West Slope Shrubland,G1G2Q,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,364591,Artemisia nova / Poa fendleriana Shrubland,Artemisia nova  /  Poa fendleriana Shrubland,-,GNR,S3S4,N,-,-,-,N,N,Fully Tracked
Natural Communities,364513,Artemisia nova / Poa secunda Shrubland,Artemisia nova  /  Poa secunda Shrubland,-,G3,S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24584,Artemisia nova / Pseudoroegneria spicata Shrubland,Artemisia nova  /  Pseudoroegneria spicata Shrubland,Western Slope Sagebrush Shrublands,G4G5,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364501,Artemisia nova Shrubland,Artemisia nova Shrubland,-,G3G5,S4,N,-,-,-,N,N,Partial Tracking
Natural Communities,364562,Artemisia tridentata / Achnatherum hymenoides Shrubland,Artemisia tridentata  /  Achnatherum hymenoides Shrubland,-,G3G5,S4,N,-,-,-,N,N,Partial Tracking
Natural Communities,364538,Artemisia tridentata / Pleuraphis jamesii Shrubland,Artemisia tridentata  /  Pleuraphis jamesii Shrubland,-,G5,S5,N,-,-,-,N,N,Partial Tracking
