"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"ACLE9","STLE4","STLE4","Stipa lettermanii Vasey","Stipa","lettermanii","Poaceae"
"ACMI2",NA,"ACMI2","Achillea millefolium L.","Achillea","millefolium","Asteraceae"
"ACMIA",NA,"ACMIA","Achillea millefolium L. var. alpicola (Rydb.) Garrett","Achillea","millefolium","Asteraceae"
"ACMIA","ACAL11","ACAL11","Achillea alpicola (Rydb.) Rydb.","Achillea","alpicola","Asteraceae"
"ACMIA","ACFU","ACFU","Achillea fusca Rydb.","Achillea","fusca","Asteraceae"
"ACMIA","ACLAA","ACLAA","Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck","Achillea","lanulosa","Asteraceae"
"ACMIA","ACLAA2","ACLAA2","Achillea lanulosa Nutt. var. alpicola Rydb.","Achillea","lanulosa","Asteraceae"
"ACMIA","ACMIF","ACMIF","Achillea millefolium L. var. fusca (Rydb.) G.N. Jones","Achillea","millefolium","Asteraceae"
"ACMIA","ACSU3","ACSU3","Achillea subalpina Greene","Achillea","subalpina","Asteraceae"
"ACMIO",NA,"ACMIO","Achillea millefolium L. var. occidentalis DC.","Achillea","millefolium","Asteraceae"
"ACMIO","ACAN7","ACAN7","Achillea angustissima Rydb.","Achillea","angustissima","Asteraceae"
"ACMIO","ACAS2","ACAS2","Achillea aspleniifolia auct. non Vent.","Achillea","aspleniifolia","Asteraceae"
"ACMIO","ACER2","ACER2","Achillea eradiata Piper","Achillea","eradiata","Asteraceae"
"ACMIO","ACGR5","ACGR5","Achillea gracilis Raf.","Achillea","gracilis","Asteraceae"
"ACMIO","ACLA5","ACLA5","Achillea lanulosa Nutt.","Achillea","lanulosa","Asteraceae"
"ACMIO","ACLAT","ACLAT","Achillea lanulosa Nutt. ssp. typica D.D. Keck","Achillea","lanulosa","Asteraceae"
"ACMIO","ACLAA3","ACLAA3","Achillea lanulosa Nutt. var. arachnoidea Lunell","Achillea","lanulosa","Asteraceae"
"ACMIO","ACLAE","ACLAE","Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck","Achillea","lanulosa","Asteraceae"
"ACMIO","ACLA3","ACLA3","Achillea laxiflora Pollard & Cockerell","Achillea","laxiflora","Asteraceae"
"ACMIO","ACMIL","ACMIL","Achillea millefolium L. ssp. lanulosa (Nutt.) Piper","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIO2","ACMIO2","Achillea millefolium L. ssp. occidentalis (DC.) Hyl.","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIP5","ACMIP5","Achillea millefolium L. ssp. pallidotegula B. Boivin","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIA4","ACMIA4","Achillea millefolium L. var. aspleniifolia (Vent.) Farw.","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIG2","ACMIG2","Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIL3","ACMIL3","Achillea millefolium L. var. lanulosa (Nutt.) Piper","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIR","ACMIR","Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray","Achillea","millefolium","Asteraceae"
"ACMIO","ACMIR2","ACMIR2","Achillea millefolium L. var. russeolata B. Boivin","Achillea","millefolium","Asteraceae"
"ACMIO","ACOC","ACOC","Achillea occidentalis (DC.) Raf. ex Rydb.","Achillea","occidentalis","Asteraceae"
"ACMIO","ACRO4","ACRO4","Achillea rosea Desf.","Achillea","rosea","Asteraceae"
"ACMIO","ACTO3","ACTO3","Achillea tomentosa Pursh, non L.","Achillea","tomentosa","Asteraceae"
"ACNE10",NA,"ACNE10","Achnatherum nevadense (B.L. Johnson) Barkworth","Achnatherum","nevadense","Poaceae"
"ACNE10","STNE4","STNE4","Stipa nevadensis B.L. Johnson","Stipa","nevadensis","Poaceae"
"ACNE2",NA,"ACNE2","Acer negundo L.","Acer","negundo","Aceraceae"
"ACNE9",NA,"ACNE9","Achnatherum nelsonii (Scribn.) Barkworth","Achnatherum","nelsonii","Poaceae"
"ACNED",NA,"ACNED","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Achnatherum","nelsonii","Poaceae"
"ACNED","ACNED2","ACNED2","Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn","Achnatherum","nelsonii","Poaceae"
"ACNED","STCO3","STCO3","Stipa columbiana Macoun, nom. utique rej.","Stipa","columbiana","Poaceae"
"ACNED","STMI6","STMI6","Stipa minor (Vasey) Scribn.","Stipa","minor","Poaceae"
"ACNED","STNED","STNED","Stipa nelsonii Scribn. ssp. dorei Barkworth & Maze","Stipa","nelsonii","Poaceae"
"ACNED","STNED2","STNED2","Stipa nelsonii Scribn. var. dorei (Barkworth & Maze) Dorn","Stipa","nelsonii","Poaceae"
"ACNED","STOCM","STOCM","Stipa occidentalis Thurb. var. minor sensu C.L. Hitchc., non (Vasey) C.L. Hitchc.","Stipa","occidentalis","Poaceae"
"ACNEI2",NA,"ACNEI2","Acer negundo L. var. interius (Britton) Sarg.","Acer","negundo","Aceraceae"
"ACNEI2","ACIN3","ACIN3","Acer interius Britton","Acer","interius","Aceraceae"
"ACNEI2","ACNEI","ACNEI","Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve","Acer","negundo","Aceraceae"
"ACNEI2","NEACI","NEACI","Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve","Negundo","aceroides","Aceraceae"
"ACNEI2","NEIN3","NEIN3","Negundo interius (Britton) Rydb.","Negundo","interius","Aceraceae"
"ACNEN",NA,"ACNEN","Acer negundo L. var. negundo","Acer","negundo","Aceraceae"
"ACNEN","ACNEV2","ACNEV2","Acer negundo L. var. variegatum Jacques","Acer","negundo","Aceraceae"
"ACNEN","NEAC","NEAC","Negundo aceroides (L.) Moench","Negundo","aceroides","Aceraceae"
"ACNEN","NENE","NENE","Negundo negundo (L.) Karst., nom. inval.","Negundo","negundo","Aceraceae"
"ACNEN2",NA,"ACNEN2","Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii","Achnatherum","nelsonii","Poaceae"
"ACNEN2","STCON2","STCON2","Stipa columbiana Macoun var. nelsonii (Scribn.) H. St. John","Stipa","columbiana","Poaceae"
"ACNEN2","STNE3","STNE3","Stipa nelsonii Scribn.","Stipa","nelsonii","Poaceae"
"ACNEN2","STOCN","STOCN","Stipa occidentalis Thurb. var. nelsonii (Scribn.) C.L. Hitchc.","Stipa","occidentalis","Poaceae"
"ACNEN2","STWI","STWI","Stipa williamsii Scribn.","Stipa","williamsii","Poaceae"
"ACNEV",NA,"ACNEV","Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger","Acer","negundo","Aceraceae"
"ACNEV","NEACV","NEACV","Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber","Negundo","aceroides","Aceraceae"
"ACOC3",NA,"ACOC3","Achnatherum occidentale (Thurb.) Barkworth","Achnatherum","occidentale","Poaceae"
"ACOCP",NA,"ACOCP","Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth","Achnatherum","occidentale","Poaceae"
"ACOCP","STEL2","STEL2","Stipa elmeri Piper & Brodie ex Scribn.","Stipa","elmeri","Poaceae"
"ACOCP","STOCP","STOCP","Stipa occidentalis Thurb. var. pubescens (Vasey) Maze, Roy L. Taylor & MacBryde","Stipa","occidentalis","Poaceae"
"ACONI",NA,"ACONI","Aconitum L.","Aconitum","L","Ranunculaceae"
"ACORU",NA,"ACORU","Acorus L.","Acorus","L","Acoraceae"
"ACPI2",NA,"ACPI2","Achnatherum pinetorum (M.E. Jones) Barkworth","Achnatherum","pinetorum","Poaceae"
"ACPI2","STPI2","STPI2","Stipa pinetorum M.E. Jones","Stipa","pinetorum","Poaceae"
"ACRE3",NA,"ACRE3","Acroptilon repens (L.) DC.","Acroptilon","repens","Asteraceae"
