"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"ANSE4","Androsace septentrionalis","Androsace septentrionalis","Annual, Perennial","Native"
"ANBR4","Androstephium breviflorum","Androstephium breviflorum","Perennial","Native"
"ANCA8","Anemone canadensis","Anemone canadensis","Perennial","Native"
"ANCY","Anemone cylindrica","Anemone cylindrica","Perennial","Native"
"ANMU","Anemone multifida","Anemone multifida","Perennial","Native"
"ANNAZ2","Anemone narcissiflora var. zephyra","Anemone narcissiflora var. zephyra","Perennial","Native"
"ANPA","Anemone parviflora","Anemone parviflora","Perennial","Native"
"PUPAM","Pulsatilla patens ssp. multifida","Anemone patens var. multifida","Perennial","Native"
"ANCA10","Anemopsis californica","Anemopsis californica","Perennial","Native"
"ANAM","Angelica ampla","Angelica ampla","Perennial","Native"
"ANGR3","Angelica grayi","Angelica grayi","Perennial","Native"
"ANPI2","Angelica pinnata","Angelica pinnata","Perennial","Native"
"ANCR2","Anoda cristata","Anoda cristata","Annual","Native"
"ANAN2","Antennaria anaphaloides","Antennaria anaphaloides","Perennial","Native"
"ANCO","Antennaria corymbosa","Antennaria corymbosa","Perennial","Native"
"ANDI2","Antennaria dimorpha","Antennaria dimorpha","Perennial","Native"
"ANLUL","Antennaria luzuloides ssp. luzuloides","Antennaria luzuloides ssp. luzuloides","Perennial","Native"
"ANMA5","Antennaria marginata","Antennaria marginata","Perennial","Native"
"ANME2","Antennaria media","Antennaria media","Perennial","Native"
"ANMI3","Antennaria microphylla","Antennaria microphylla","Perennial","Native"
"ANNE","Antennaria neglecta","Antennaria neglecta","Perennial","Native"
"ANPA4","Antennaria parvifolia","Antennaria parvifolia","Perennial","Native"
"ANPU","Antennaria pulcherrima","Antennaria pulcherrima","Perennial","Native"
"ANRO2","Antennaria rosea","Antennaria rosea","Perennial","Native"
"ANRO3","Antennaria rosulata","Antennaria rosulata","Perennial","Native"
"ANUM","Antennaria umbrinella","Antennaria umbrinella","Perennial","Native"
"ANAR6","Anthemis arvensis","Anthemis arvensis","Annual","Introduced"
"ANCO2","Anthemis cotula","Anthemis cotula","Annual","Introduced"
"ANTI","Anthemis tinctoria","Anthemis tinctoria","Perennial","Introduced"
"HIHI","Hierochloe hirta","Anthoxanthum hirtum","Perennial","Native"
"ANOD","Anthoxanthum odoratum","Anthoxanthum odoratum","Perennial","Introduced"
"APIN","Apera interrupta","Apera interrupta","Annual","Introduced"
"APAM","Apios americana","Apios americana","Perennial","Native"
"APFL","Apocynum ×floribundum","Apocynum ×floribundum","Perennial","Native"
"APAN2","Apocynum androsaemifolium","Apocynum androsaemifolium","Perennial","Native"
"APCA","Apocynum cannabinum","Apocynum cannabinum","Perennial","Native"
"AQBA","Aquilegia barnebyi","Aquilegia barnebyi","Perennial","Native"
"AQCH","Aquilegia chrysantha","Aquilegia chrysantha","Perennial","Native"
"AQCO","Aquilegia coerulea","Aquilegia coerulea","Perennial","Native"
"AQCOC","Aquilegia coerulea var. coerulea","Aquilegia coerulea var. coerulea","Perennial","Native"
"AQCOO","Aquilegia coerulea var. ochroleuca","Aquilegia coerulea var. ochroleuca","Perennial","Native"
"AQEL","Aquilegia elegantula","Aquilegia elegantula","Perennial","Native"
"AQMI","Aquilegia micrantha","Aquilegia micrantha","Perennial","Native"
"AQSA","Aquilegia saximontana","Aquilegia saximontana","Perennial","Native"
"ARHIP","Arabis hirsuta var. pycnocarpa","Arabis pycnocarpa var. pycnocarpa","Annual, Biennial, Perennial","Native"
"ARNU2","Aralia nudicaulis","Aralia nudicaulis","Perennial","Native"
"ARRAB2","Aralia racemosa ssp. bicrenata","Aralia racemosa ssp. bicrenata","Perennial","Native"
"ARAM","Arceuthobium americanum","Arceuthobium americanum","Perennial","Native"
"ARCY2","Arceuthobium cyanocarpum","Arceuthobium cyanocarpum","Perennial","Native"
"ARDI3","Arceuthobium divaricatum","Arceuthobium divaricatum","Perennial","Native"
"ARDO","Arceuthobium douglasii","Arceuthobium douglasii","Perennial","Native"
"ARVAC","Arceuthobium vaginatum ssp. cryptopodum","Arceuthobium vaginatum ssp. cryptopodum","Perennial","Native"
"ARLA3","Arctium lappa","Arctium lappa","Biennial","Introduced"
"ARMI2","Arctium minus","Arctium minus","Biennial","Introduced"
"ARTO","Arctium tomentosum","Arctium tomentosum","Biennial","Introduced"
"ARPA6","Arctostaphylos patula","Arctostaphylos patula","Perennial","Native"
"ARUV","Arctostaphylos uva-ursi","Arctostaphylos uva-ursi","Perennial","Native"
"ARLAS","Arenaria lanuginosa ssp. saxosa","Arenaria lanuginosa ssp. saxosa","Perennial","Native"
"ARSE2","Arenaria serpyllifolia","Arenaria serpyllifolia","Annual","Introduced"
"ARCOA","Argemone corymbosa ssp. arenicola","Argemone corymbosa ssp. arenicola","Annual","Native"
"ARHI4","Argemone hispida","Argemone hispida","Perennial","Native"
"ARPO2","Argemone polyanthemos","Argemone polyanthemos","Annual, Biennial, Perennial","Native"
"ARSQS","Argemone squarrosa ssp. squarrosa","Argemone squarrosa ssp. squarrosa","Perennial","Native"
"ARFE5","Argyrochosma fendleri","Argyrochosma fendleri","Perennial","Native"
