"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"GRSP","Grayia spinosa","Grayia spinosa","Perennial","Native"
"GRAR2","Grindelia arizonica","Grindelia arizonica","Perennial","Native"
"GRFA","Grindelia fastigiata","Grindelia fastigiata","Perennial","Native"
"GRHI","Grindelia hirsutula","Grindelia hirsutula","Perennial","Native"
"GRAC","Grindelia acutifolia","Grindelia hirsutula var. acutifolia","Perennial","Native"
"GRDE","Grindelia decumbens","Grindelia hirsutula var. decumbens","Perennial","Native"
"GRRE","Grindelia revoluta","Grindelia hirsutula var. revoluta","Annual, Biennial","Native"
"GRIN2","Grindelia inornata","Grindelia inornata","Perennial","Native"
"GRNU","Grindelia nuda","Grindelia nuda","Annual, Biennial, Perennial","Native"
"GRNUA","Grindelia nuda var. aphanactis","Grindelia nuda var. aphanactis","Perennial, Biennial, Annual","Native"
"GRNUN","Grindelia nuda var. nuda","Grindelia nuda var. nuda","Annual, Biennial, Perennial","Native"
"GRSQ","Grindelia squarrosa","Grindelia squarrosa","Annual, Biennial, Perennial","Native"
"GRSQQ","Grindelia squarrosa var. quasiperennis","Grindelia squarrosa var. quasiperennis","Perennial, Biennial, Annual","Native"
"GRSQS","Grindelia squarrosa var. serrulata","Grindelia squarrosa var. serrulata","Annual, Biennial, Perennial","Native"
"GRSQS2","Grindelia squarrosa var. squarrosa","Grindelia squarrosa var. squarrosa","Perennial, Biennial, Annual","Native"
"GRSU","Grindelia subalpina","Grindelia subalpina","Biennial","Native"
"GUDE","Guilleminea densa","Guilleminea densa","Perennial","Native"
"GUEL2","Gutierrezia elegans","Gutierrezia elegans","Perennial","Native"
"GUMI","Gutierrezia microcephala","Gutierrezia microcephala","Perennial","Native"
"GUSA2","Gutierrezia sarothrae","Gutierrezia sarothrae","Perennial","Native"
"GYDR","Gymnocarpium dryopteris","Gymnocarpium dryopteris","Perennial","Native"
"GYPA2","Gymnosteris parvula","Gymnosteris parvula","Annual","Native"
"GYEL","Gypsophila elegans","Gypsophila elegans","Annual, Biennial","Introduced"
"GYPA","Gypsophila paniculata","Gypsophila paniculata","Perennial","Introduced"
"GYSC","Gypsophila scorzonerifolia","Gypsophila scorzonerifolia","Perennial","Introduced"
"HABE3","Hackelia besseyi","Hackelia besseyi","Biennial, Perennial","Native"
"HAFL2","Hackelia floribunda","Hackelia floribunda","Biennial, Perennial","Native"
"HAGR10","Hackelia gracilenta","Hackelia gracilenta","Perennial","Native"
"HAMI","Hackelia micrantha","Hackelia micrantha","Perennial","Native"
"HAGL","Halogeton glomeratus","Halogeton glomeratus","Annual","Introduced"
"HATR","Harbouria trachypleura","Harbouria trachypleura","Perennial","Native"
"HEDR","Hedeoma drummondii","Hedeoma drummondii","Annual, Biennial, Perennial","Native"
"HEHI","Hedeoma hispida","Hedeoma hispida","Annual","Native"
"STNI6","Stenaria nigricans","Hedyotis nigricans","Perennial","Native"
"HEBO","Hedysarum boreale","Hedysarum boreale","Perennial","Native"
"HEOC","Hedysarum occidentale","Hedysarum occidentale","Perennial","Native"
"HEAU","Helenium autumnale","Helenium autumnale","Perennial","Native"
"HEMIM","Helenium microcephalum var. microcephalum","Helenium microcephalum var. microcephalum","Annual","Native"
"HEMI2","Helianthella microcephala","Helianthella microcephala","Perennial","Native"
"HEPA","Helianthella parryi","Helianthella parryi","Perennial","Native"
"HEQU2","Helianthella quinquenervis","Helianthella quinquenervis","Perennial","Native"
"HEUN","Helianthella uniflora","Helianthella uniflora","Perennial","Native"
"HEBI2","Helianthemum bicknellii","Helianthemum bicknellii","Perennial","Native"
"HEAN3","Helianthus annuus","Helianthus annuus","Annual","Native"
"HECI","Helianthus ciliaris","Helianthus ciliaris","Perennial","Native"
"HEMA2","Helianthus maximiliani","Helianthus maximiliani","Perennial","Native"
"HENU","Helianthus nuttallii","Helianthus nuttallii","Perennial","Native"
"HEPE","Helianthus petiolaris","Helianthus petiolaris","Annual","Native"
"HEPEF","Helianthus petiolaris ssp. fallax","Helianthus petiolaris ssp. fallax","Annual","Native"
"HEPEP","Helianthus petiolaris ssp. petiolaris","Helianthus petiolaris ssp. petiolaris","Annual","Native"
"HEPU3","Helianthus pumilus","Helianthus pumilus","Perennial","Native"
"HEPAS","Helianthus pauciflorus ssp. subrhomboideus","Helianthus rigidus ssp. subrhomboideus","Perennial","Native"
"HETU","Helianthus tuberosus","Helianthus tuberosus","Perennial","Native"
"HEMO3","Helictotrichon mortonianum","Helictotrichon mortonianum","Perennial","Native"
"HEMU3","Heliomeris multiflora","Heliomeris multiflora","Perennial","Native"
"HEMUM","Heliomeris multiflora var. multiflora","Heliomeris multiflora var. multiflora","Perennial","Native"
"HEMUN","Heliomeris multiflora var. nevadensis","Heliomeris multiflora var. nevadensis","Perennial","Native"
"HEHES","Heliopsis helianthoides var. scabra","Heliopsis helianthoides var. scabra","Perennial","Native"
"HECU3","Heliotropium curassavicum","Heliotropium curassavicum","Annual, Perennial","Native"
"HECUO2","Heliotropium curassavicum var. obovatum","Heliotropium curassavicum var. obovatum","Perennial, Annual","Native"
"HECUO","Heliotropium curassavicum var. oculatum","Heliotropium curassavicum var. oculatum","Annual, Perennial","Native"
"HEFU","Hemerocallis fulva","Hemerocallis fulva","Perennial","Introduced"
"HEMA80","Heracleum maximum","Heracleum maximum","Perennial","Native"
"HEGL8","Herniaria glabra","Herniaria glabra","Annual, Perennial","Introduced"
"EUGLG2","Eurybia glauca var. glauca","Herrickia glauca var. glauca","Perennial","Native"
"EUHO4","Eurybia horrida","Herrickia horrida","Perennial","Native"
"SCLI12","Schoenocrambe linearifolia","Hesperidanthus linearifolius","Perennial","Native"
"HEMA3","Hesperis matronalis","Hesperis matronalis","Biennial, Perennial","Introduced"
"HEPU6","Hesperochiron pumilus","Hesperochiron pumilus","Perennial","Native"
"HECO26","Hesperostipa comata","Hesperostipa comata","Perennial","Native"
"HENE5","Hesperostipa neomexicana","Hesperostipa neomexicana","Perennial","Native"
"HESP11","Hesperostipa spartea","Hesperostipa spartea","Perennial","Native"
"HEDU2","Heteranthera dubia","Heteranthera dubia","Annual, Perennial","Native"
"HELI2","Heteranthera limosa","Heteranthera limosa","Annual","Native"
"HERA3","Heterocodon rariflorum","Heterocodon rariflorum","Annual","Native"
"HEPI2","Heterosperma pinnatum","Heterosperma pinnatum","Annual","Native"
"HEVIF","Heterotheca villosa var. foliosa","Heterotheca foliosa","Perennial","Native"
"HEPU14","Heterotheca pumila","Heterotheca pumila","Perennial","Native"
"HEST3","Heterotheca stenophylla","Heterotheca stenophylla","Perennial","Native"
"HESU3","Heterotheca subaxillaris","Heterotheca subaxillaris ssp. latifolia","Annual","Native"
"HEVI4","Heterotheca villosa","Heterotheca villosa","Perennial","Native"
"HESTA","Heterotheca villosa var. angustifolia","Heterotheca villosa var. angustifolia","Perennial","Native"
"HEVIM3","Heterotheca villosa var. minor","Heterotheca villosa var. minor","Perennial","Native"
"HEVIN","Heterotheca villosa var. nana","Heterotheca villosa var. nana","Perennial","Native"
"HEVIP","Heterotheca villosa var. pedunculata","Heterotheca villosa var. pedunculata","Perennial","Native"
"HEVIS","Heterotheca villosa var. scabra","Heterotheca villosa var. scabra","Perennial","Native"
"HEVIV","Heterotheca villosa var. villosa","Heterotheca villosa var. villosa","Perennial","Native"
"HEZI","Heterotheca zionensis","Heterotheca zionensis","Perennial","Native"
"HEBR2","Heuchera bracteata","Heuchera bracteata","Perennial","Native"
"HEHA2","Heuchera hallii","Heuchera hallii","Perennial","Native"
"HEPA11","Heuchera parvifolia","Heuchera parvifolia","Perennial","Native"
"HERI","Heuchera richardsonii","Heuchera richardsonii","Perennial","Native"
"HERU","Heuchera rubescens","Heuchera rubescens","Perennial","Native"
"HITR","Hibiscus trionum","Hibiscus trionum","Annual","Introduced"
"HIAL2","Hieracium albiflorum","Hieracium albiflorum","Perennial","Native"
"HIAU","Hieracium aurantiacum","Hieracium aurantiacum","Perennial","Introduced"
"HIFE","Hieracium fendleri","Hieracium fendleri","Perennial","Native"
"HITR2","Hieracium triste","Hieracium triste","Perennial","Native"
"PLJA","Pleuraphis jamesii","Hilaria jamesii","Perennial","Native"
"HIVU2","Hippuris vulgaris","Hippuris vulgaris","Perennial","Native"
"HODR","Hoffmannseggia drepanocarpa","Hoffmannseggia drepanocarpa","Perennial","Native"
"HOGL2","Hoffmannseggia glauca","Hoffmannseggia glauca","Perennial","Native"
"HORE","Hoffmannseggia repens","Hoffmannseggia repens","Perennial","Native"
"HOLA","Holcus lanatus","Holcus lanatus","Perennial","Introduced"
"CAAN14","Camissonia andina","Holmgrenia andina","Annual","Native"
"HODU","Holodiscus dumosus","Holodiscus dumosus","Perennial","Native"
"HOUM","Holosteum umbellatum","Holosteum umbellatum ssp. umbellatum","Annual","Introduced"
"PAOB","Panicum obtusum","Hopia obtusa","Perennial","Native"
"HOBR2","Hordeum brachyantherum","Hordeum brachyantherum","Perennial","Native"
"HOJU","Hordeum jubatum","Hordeum jubatum","Perennial","Native"
"HOMU","Hordeum murinum","Hordeum murinum","Annual","Introduced"
"HOPU","Hordeum pusillum","Hordeum pusillum","Annual","Native"
"HOVU","Hordeum vulgare","Hordeum vulgare","Annual","Introduced"
"HOPR4","Hornungia procumbens","Hornungia procumbens","Annual","Native"
"HULUN","Humulus lupulus var. neomexicanus","Humulus neomexicanus","Perennial","Native"
"HUHA","Huperzia haleakalae","Huperzia haleakalae","Perennial","Native"
"HYVE","Hybanthus verticillatus","Hybanthus verticillatus","Perennial","Native"
"HYCA4","Hydrophyllum capitatum var. capitatum","Hydrophyllum capitatum var. capitatum","Perennial","Native"
"HYFEF","Hydrophyllum fendleri var. fendleri","Hydrophyllum fendleri var. fendleri","Perennial","Native"
"HYFI","Hymenopappus filifolius","Hymenopappus filifolius","Perennial","Native"
"HYFIC","Hymenopappus filifolius var. cinereus","Hymenopappus filifolius var. cinereus","Perennial","Native"
"HYFIL2","Hymenopappus filifolius var. luteus","Hymenopappus filifolius var. luteus","Perennial","Native"
"HYFIM","Hymenopappus filifolius var. megacephalus","Hymenopappus filifolius var. megacephalus","Perennial","Native"
"HYFIP2","Hymenopappus filifolius var. parvulus","Hymenopappus filifolius var. parvulus","Perennial","Native"
"HYFIP","Hymenopappus filifolius var. pauciflorus","Hymenopappus filifolius var. pauciflorus","Perennial","Native"
"HYFIP3","Hymenopappus filifolius var. polycephalus","Hymenopappus filifolius var. polycephalus","Perennial","Native"
"HYFL","Hymenopappus flavescens","Hymenopappus flavescens","Biennial","Native"
"HYNE","Hymenopappus newberryi","Hymenopappus newberryi","Perennial","Native"
"HYTE2","Hymenopappus tenuifolius","Hymenopappus tenuifolius","Biennial","Native"
"TEBR","Tetraneuris brandegeei","Hymenoxys brandegeei","Perennial","Native"
"TEGR3","Tetraneuris grandiflora","Hymenoxys grandiflora","Perennial","Native"
"HYHE","Hymenoxys helenioides","Hymenoxys helenioides","Perennial","Native"
"HYHO","Hymenoxys hoopesii","Hymenoxys hoopesii","Perennial","Native"
"HYOD","Hymenoxys odorata","Hymenoxys odorata","Annual","Native"
"HYRI","Hymenoxys richardsonii","Hymenoxys richardsonii","Perennial","Native"
"HYRIF","Hymenoxys richardsonii var. floribunda","Hymenoxys richardsonii var. floribunda","Perennial","Native"
"HYRIR","Hymenoxys richardsonii var. richardsonii","Hymenoxys richardsonii var. richardsonii","Perennial","Native"
"HYNI","Hyoscyamus niger","Hyoscyamus niger","Annual, Biennial","Introduced"
"HYMA2","Hypericum majus","Hypericum majus","Annual","Native"
"HYPE","Hypericum perforatum","Hypericum perforatum","Perennial","Introduced"
"HYSCN","Hypericum scouleri ssp. nortoniae","Hypericum scouleri ssp. nortoniae","Perennial","Native"
"HYRA3","Hypochaeris radicata","Hypochaeris radicata","Perennial","Introduced"
"HYHI2","Hypoxis hirsuta","Hypoxis hirsuta","Perennial","Native"
"IBAM","Iberis amara","Iberis amara","Annual","Introduced"
"ILRI","Iliamna rivularis","Iliamna rivularis","Perennial","Native"
"IMCA","Impatiens capensis","Impatiens capensis","Annual","Native"
"IPCR","Ipomoea cristulata","Ipomoea cristulata","Annual","Native"
"IPLE","Ipomoea leptophylla","Ipomoea leptophylla","Perennial","Native"
"IPPU2","Ipomoea purpurea","Ipomoea purpurea","Annual","Introduced"
"IPAG","Ipomopsis aggregata","Ipomopsis aggregata","Biennial, Perennial","Native"
"IPAGA3","Ipomopsis aggregata ssp. aggregata","Ipomopsis aggregata ssp. aggregata","Biennial, Perennial","Native"
"IPAGA2","Ipomopsis aggregata ssp. attenuata","Ipomopsis aggregata ssp. attenuata","Perennial, Biennial","Native"
"IPAGC","Ipomopsis aggregata ssp. candida","Ipomopsis aggregata ssp. candida","Biennial, Perennial","Native"
"IPAGC2","Ipomopsis aggregata ssp. collina","Ipomopsis aggregata ssp. collina","Perennial, Biennial","Native"
"IPTE4","Ipomopsis tenuituba","Ipomopsis aggregata ssp. tenuituba","Perennial","Native"
"IPCO5","Ipomopsis congesta","Ipomopsis congesta","Perennial","Native"
"IPCOC3","Ipomopsis congesta ssp. congesta","Ipomopsis congesta ssp. congesta","Perennial","Native"
"IPCOC","Ipomopsis congesta ssp. crebrifolia","Ipomopsis congesta ssp. crebrifolia","Perennial","Native"
"IPCOF","Ipomopsis congesta ssp. frutescens","Ipomopsis congesta ssp. frutescens","Perennial","Native"
"IPGL","Ipomopsis globularis","Ipomopsis globularis","Biennial, Perennial","Native"
"IPGU","Ipomopsis gunnisonii","Ipomopsis gunnisonii","Annual","Native"
"IPLA2","Ipomopsis laxiflora","Ipomopsis laxiflora","Annual, Biennial","Native"
"IPLO2","Ipomopsis longiflora","Ipomopsis longiflora","Annual, Biennial","Native"
"IPMU3","Ipomopsis multiflora","Ipomopsis multiflora","Perennial","Native"
"IPPO","Ipomopsis polyantha","Ipomopsis polyantha","Perennial","Native"
"IPPO2","Ipomopsis polycladon","Ipomopsis polycladon","Annual","Native"
"IPPU4","Ipomopsis pumila","Ipomopsis pumila","Annual","Native"
"IPRA","Ipomopsis ramosa","Ipomopsis ramosa","Biennial, Perennial","Native"
"IPRO","Ipomopsis roseata","Ipomopsis roseata","Perennial","Native"
"IPSP","Ipomopsis spicata","Ipomopsis spicata","Perennial","Native"
"IRMI","Iris missouriensis","Iris missouriensis","Perennial","Native"
"IRPS","Iris pseudacorus","Iris pseudacorus","Perennial","Introduced"
"ISTI","Isatis tinctoria","Isatis tinctoria","Biennial, Perennial","Introduced"
"ISRU2","Isocoma rusbyi","Isocoma rusbyi","Perennial","Native"
"ISBO","Isoetes bolanderi","Isoëtes bolanderi","Perennial","Native"
"ISTE5","Isoetes tenella","Isoëtes echinospora","Perennial","Native"
"ISOC","Isoetes occidentalis L.F. Hend.","Isoëtes occidentalis","Perennial","Native"
"IVAX","Iva axillaris","Iva axillaris","Perennial","Native"
"IVGO","Ivesia gordonii","Ivesia gordonii","Perennial","Native"
"JAAMA","Jamesia americana var. americana","Jamesia americana var. americana","Perennial","Native"
"JUAC","Juncus acuminatus","Juncus acuminatus","Perennial","Native"
"JUAL4","Juncus alpinoarticulatus","Juncus alpinoarticulatus","Perennial","Native"
"JUAR2","Juncus arcticus","Juncus arcticus","Perennial","Both"
"JUARL","Juncus arcticus ssp. littoralis","Juncus arcticus var. balticus","Perennial","Native"
"JUAR4","Juncus articulatus","Juncus articulatus","Perennial","Native"
"JUBI2","Juncus biglumis","Juncus biglumis","Perennial","Native"
"JUBR2","Juncus brachycephalus","Juncus brachycephalus","Perennial","Native"
"JUBR3","Juncus brachyphyllus","Juncus brachyphyllus","Perennial","Native"
"JUBR4","Juncus brevicaudatus","Juncus brevicaudatus","Perennial","Native"
"JUBR5","Juncus bryoides","Juncus bryoides","Annual","Native"
"JUBU","Juncus bufonius","Juncus bufonius","Annual","Native"
"JUCA6","Juncus castaneus","Juncus castaneus","Perennial","Native"
"JUCO","Juncus compressus","Juncus compressus","Perennial","Introduced"
"JUCO2","Juncus confusus","Juncus confusus","Perennial","Native"
"JUDI","Juncus dichotomus","Juncus dichotomus","Perennial","Native"
"JUDR","Juncus drummondii","Juncus drummondii","Perennial","Native"
"JUDU2","Juncus dudleyi","Juncus dudleyi","Perennial","Native"
"JUEF","Juncus effusus","Juncus effusus","Perennial","Native"
"JUEN","Juncus ensifolius","Juncus ensifolius","Perennial","Native"
"JUFI","Juncus filiformis","Juncus filiformis","Perennial","Native"
"JUGE","Juncus gerardii","Juncus gerardii","Perennial","Native"
"JUHA","Juncus hallii","Juncus hallii","Perennial","Native"
"JUIN2","Juncus interior","Juncus interior","Perennial","Native"
"JULO","Juncus longistylis","Juncus longistylis","Perennial","Native"
"JUMA4","Juncus marginatus","Juncus marginatus","Perennial","Native"
"JUME3","Juncus mertensianus","Juncus mertensianus","Perennial","Native"
"JUNE","Juncus nevadensis","Juncus nevadensis","Perennial","Native"
"JUNO2","Juncus nodosus","Juncus nodosus","Perennial","Native"
"JUPA","Juncus parryi","Juncus parryi","Perennial","Native"
"JUTE","Juncus tenuis","Juncus tenuis","Perennial","Native"
"JUTO","Juncus torreyi","Juncus torreyi","Perennial","Native"
"JUTR4","Juncus triglumis","Juncus triglumis","Perennial","Native"
"JUAL2","Juncus albescens","Juncus triglumis var. albescens","Perennial","Native"
"JUTR4","Juncus triglumis","Juncus triglumis var. triglumis","Perennial","Native"
"JUVA","Juncus vaseyi","Juncus vaseyi","Perennial","Native"
"JUCOD","Juniperus communis var. depressa","Juniperus communis var. depressa","Perennial","Native"
"JUMO","Juniperus monosperma","Juniperus monosperma","Perennial","Native"
"JUOS","Juniperus osteosperma","Juniperus osteosperma","Perennial","Native"
"JUSC2","Juniperus scopulorum","Juniperus scopulorum","Perennial","Native"
"KAPA","Kallstroemia parviflora","Kallstroemia parviflora","Annual","Native"
"KAMI","Kalmia microphylla","Kalmia microphylla","Perennial","Native"
"KNAR","Knautia arvensis","Knautia arvensis","Annual, Perennial","Introduced"
"KOMY","Kobresia myosuroides","Kobresia myosuroides","Perennial","Native"
"KOSI","Kobresia sibirica","Kobresia sibirica","Perennial","Native"
"KOSI2","Kobresia simpliciuscula","Kobresia simpliciuscula","Perennial","Native"
"BAAM4","Bassia americana","Kochia americana","Perennial","Native"
"BASC5","Bassia scoparia","Kochia scoparia","Annual","Introduced"
"KOMA","Koeleria macrantha","Koeleria macrantha","Perennial","Native"
"KOIS","Koenigia islandica","Koenigia islandica","Annual","Native"
"KRLA","Krameria lanceolata","Krameria lanceolata","Perennial","Native"
"KRLA2","Krascheninnikovia lanata","Krascheninnikovia lanata","Perennial","Native"
"KRBI","Krigia biflora","Krigia biflora","Perennial","Native"
"LABI","Lactuca biennis","Lactuca biennis","Annual, Biennial","Native"
"LACA","Lactuca canadensis","Lactuca canadensis","Annual, Biennial","Native"
"LAGR","Lactuca graminifolia","Lactuca graminifolia","Biennial, Perennial","Native"
"LALU","Lactuca ludoviciana","Lactuca ludoviciana","Biennial, Perennial","Native"
"LASA","Lactuca saligna","Lactuca saligna","Annual, Biennial","Introduced"
"LASE","Lactuca serriola","Lactuca serriola","Annual, Biennial","Introduced"
"LATAP","Lactuca tatarica var. pulchella","Lactuca tatarica var. pulchella","Perennial, Biennial","Native"
"LACO13","Laennecia coulteri","Laennecia coulteri","Annual","Native"
"LASC3","Laennecia schiedeana","Laennecia schiedeana","Annual","Native"
"LAAM","Lamium amplexicaule","Lamium amplexicaule","Annual, Biennial","Introduced"
"LAMA","Lamium maculatum","Lamium maculatum","Perennial","Introduced"
"LAPU2","Lamium purpureum","Lamium purpureum","Annual","Introduced"
"LAOC3","Lappula occidentalis","Lappula occidentalis","Annual, Biennial","Native"
"LAOCC","Lappula occidentalis var. cupulata","Lappula occidentalis var. cupulata","Biennial, Annual","Native"
"LAOCO","Lappula occidentalis var. occidentalis","Lappula occidentalis var. occidentalis","Annual, Biennial","Native"
"LASQ","Lappula squarrosa","Lappula squarrosa","Annual, Biennial","Introduced"
"LACO3","Lapsana communis","Lapsana communis","Annual","Introduced"
"LATE6","Lathrocasis tenerrima","Lathrocasis tenerrima","Annual","Native"
"LABRZ2","Lathyrus brachycalyx ssp. zionis","Lathyrus brachycalyx ssp. zionis","Perennial","Native"
"LAEU","Lathyrus eucosmus","Lathyrus eucosmus","Perennial","Native"
"LALAA","Lathyrus lanszwertii","Lathyrus lanszwertii","Perennial","Native"
"LALA6","Lathyrus laetivirens","Lathyrus lanszwertii var. laetivirens","Perennial","Native"
"LALAL2","Lathyrus lanszwertii var. lanszwertii","Lathyrus lanszwertii var. lanszwertii","Perennial","Native"
"LALAL3","Lathyrus lanszwertii var. leucanthus","Lathyrus lanszwertii var. leucanthus","Perennial","Native"
"LALA4","Lathyrus latifolius","Lathyrus latifolius","Perennial","Introduced"
"LAPAU","Lathyrus pauciflorus var. utahensis","Lathyrus pauciflorus var. utahensis","Perennial","Native"
"LAPO2","Lathyrus polymorphus","Lathyrus polymorphus","Perennial","Native"
"LAPOI","Lathyrus polymorphus ssp. incanus","Lathyrus polymorphus ssp. incanus","Perennial","Native"
"LAPOP","Lathyrus polymorphus ssp. polymorphus","Lathyrus polymorphus ssp. polymorphus","Perennial","Native"
"LASY","Lathyrus sylvestris","Lathyrus sylvestris","Perennial","Introduced"
"LEOR","Leersia oryzoides","Leersia oryzoides","Perennial","Native"
"LEMI3","Lemna minor","Lemna minor","Perennial","Native"
"LEMI6","Lemna minuta","Lemna minuta","Perennial","Native"
"LETR","Lemna trisulca","Lemna trisulca","Perennial","Native"
"LECA2","Leonurus cardiaca","Leonurus cardiaca","Perennial","Introduced"
"LEAL4","Lepidium alyssoides","Lepidium alyssoides","Biennial, Perennial","Native"
"CAPU6","Cardaria pubescens","Lepidium appelianum","Perennial","Introduced"
"LECA5","Lepidium campestre","Lepidium campestre","Annual, Biennial","Introduced"
"CACH42","Cardaria chalepensis","Lepidium chalapensis","Perennial","Introduced"
"LECR12","Lepidium crenatum","Lepidium crenatum","Perennial","Native"
"LEDE","Lepidium densiflorum","Lepidium densiflorum","Annual, Biennial","Both"
"CADR","Cardaria draba","Lepidium draba","Perennial","Introduced"
"LEALE","Lepidium alyssoides var. eastwoodiae","Lepidium eastwoodiae","Biennial, Perennial","Native"
"LEHE2","Lepidium heterophyllum","Lepidium heterophyllum","Annual","Introduced"
"LEHU8","Lepidium huberi","Lepidium huberi","Perennial","Native"
"LELAL","Lepidium lasiocarpum var. lasiocarpum","Lepidium lasiocarpum ssp. lasiocarpum","Biennial, Annual","Native"
"LELA2","Lepidium latifolium","Lepidium latifolium","Perennial","Introduced"
"LEMO2","Lepidium montanum","Lepidium montanum","Biennial, Perennial","Native"
"LEPA42","Lepidium paysonii","Lepidium paysonii","Perennial","Native"
"LEPE2","Lepidium perfoliatum","Lepidium perfoliatum","Annual, Biennial","Introduced"
"LERA2","Lepidium ramosissimum","Lepidium ramosissimum","Annual, Biennial","Native"
"LEVI3","Lepidium virginicum","Lepidium virginicum","Annual, Biennial, Perennial","Native"
"LENUN","Leptosiphon nuttallii ssp. nuttallii","Leptosiphon nuttallii ssp. nuttallii","Perennial","Native"
"LESE17","Leptosiphon septentrionalis","Leptosiphon septentrionalis","Annual","Native"
"LEMA8","Leucanthemum maximum","Leucanthemum maximum","Annual","Introduced"
"LEVU","Leucanthemum vulgare","Leucanthemum vulgare","Perennial","Introduced"
"LEMO4","Leucocrinum montanum","Leucocrinum montanum","Perennial","Native"
"LEKI2","Leucopoa kingii","Leucopoa kingii","Perennial","Native"
"LEPY2","Lewisia pygmaea","Lewisia pygmaea","Perennial","Native"
"LENE5","Lewisia nevadensis","Lewisia pygmaea var. nevadensis","Perennial","Native"
"LEPY2","Lewisia pygmaea","Lewisia pygmaea var. pygmaea","Perennial","Native"
"LERER","Lewisia rediviva var. rediviva","Lewisia rediviva var. rediviva","Perennial","Native"
"LETR2","Lewisia triphylla","Lewisia triphylla","Perennial","Native"
"LEAM","Leymus ambiguus","Leymus ambiguus","Perennial","Native"
"LECI4","Leymus cinereus","Leymus cinereus","Perennial","Native"
"LERA5","Leymus racemosus","Leymus racemosus","Perennial","Introduced"
"LESAS","Leymus salinus ssp. salinus","Leymus salina ssp. salina","Perennial","Native"
"LETR5","Leymus triticoides","Leymus triticoides","Perennial","Native"
"LILA","Liatris lancifolia","Liatris lancifolia","Perennial","Native"
"LILI","Liatris ligulistylis","Liatris ligulistylis","Perennial","Native"
"LIPU","Liatris punctata","Liatris punctata","Perennial","Native"
"LISQG","Liatris squarrosa var. glabrata","Liatris squarrosa var. glabrata","Perennial","Native"
"LIFI","Ligusticum filicinum","Ligusticum filicinum","Perennial","Native"
"LIPO","Ligusticum porteri","Ligusticum porteri","Perennial","Native"
"LITE2","Ligusticum tenuifolium","Ligusticum tenuifolium","Perennial","Native"
"LIVU","Ligustrum vulgare","Ligustrum vulgare","Perennial","Introduced"
"LIPH","Lilium philadelphicum","Lilium philadelphicum","Perennial","Native"
"LIAQ","Limosella aquatica","Limosella aquatica","Annual, Perennial","Native"
"LICA36","Linanthus caespitosus","Linanthus caespitosus","Perennial","Native"
"LIPU11","Linanthus pungens","Linanthus pungens","Perennial","Native"
"LIWA4","Linanthus watsonii","Linanthus watsonii","Perennial","Native"
"NUTE","Nuttallanthus texanus","Linaria canadensis var. texana","Annual, Biennial","Native"
"LIDA","Linaria dalmatica","Linaria dalmatica","Perennial","Introduced"
"LIVU2","Linaria vulgaris","Linaria vulgaris","Perennial","Introduced"
"LIDUA","Lindernia dubia var. anagallidea","Lindernia dubia var. anagallidea","Biennial, Annual","Native"
"LIBOL2","Linnaea borealis var. longiflora","Linnaea borealis var. longiflora","Perennial","Native"
"LIAR3","Linum aristatum","Linum aristatum","Annual","Native"
"LIAU4","Linum australe","Linum australe","Annual","Native"
"LIBE2","Linum berlandieri","Linum berlandieri","Annual, Perennial","Native"
"LICO3","Linum compactum","Linum compactum","Annual","Native"
"LIKI2","Linum kingii","Linum kingii","Perennial","Native"
"LILE3","Linum lewisii","Linum lewisii","Perennial","Native"
"LIPE2","Linum perenne","Linum perenne","Perennial","Introduced"
"LIPR","Linum pratense","Linum pratense","Annual","Native"
"LIPU4","Linum puberulum","Linum puberulum","Annual","Native"
"LIRI","Linum rigidum","Linum rigidum","Annual, Perennial","Native"
"LIAR6","Lipocarpha aristulata","Lipocarpha aristulata","Annual","Native"
"LIBO4","Listera borealis","Listera borealis","Perennial","Native"
"LICO5","Listera convallarioides","Listera convallarioides","Perennial","Native"
"LICON","Listera cordata var. nephrophylla","Listera cordata var. nephrophylla","Perennial","Native"
"LIGL2","Lithophragma glabrum","Lithophragma glabrum","Perennial","Native"
"LIPA5","Lithophragma parviflorum","Lithophragma parviflorum","Perennial","Native"
"LITE4","Lithophragma tenellum","Lithophragma tenellum","Perennial","Native"
"BUAR3","Buglossoides arvensis","Lithospermum arvense","Annual","Introduced"
"LICAC9","Lithospermum caroliniense var. croceum","Lithospermum caroliniense var. croceum","Perennial","Native"
"LIIN2","Lithospermum incisum","Lithospermum incisum","Perennial","Native"
"LIMU3","Lithospermum multiflorum","Lithospermum multiflorum","Perennial","Native"
"LIRU4","Lithospermum ruderale","Lithospermum ruderale","Perennial","Native"
"LLSE","Lloydia serotina","Lloydia serotina","Perennial","Native"
"LOCA2","Lobelia cardinalis","Lobelia cardinalis","Perennial","Native"
"LOSIL","Lobelia siphilitica var. ludoviciana","Lobelia siphilitica var. ludoviciana","Perennial","Native"
"LOMA","Lobularia maritima","Lobularia maritima","Annual, Perennial","Introduced"
"LOPEM2","Lolium perenne ssp. multiflorum","Lolium multiflorum","Annual, Perennial","Introduced"
"LOPEP","Lolium perenne ssp. perenne","Lolium perenne","Perennial","Introduced"
"LOBI","Lomatium bicolor","Lomatium bicolor","Perennial","Native"
