"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"320","ASBIH","ASBIH","FQA_SciName","Fabaceae","Astragalus bisulcatus (Hook.) A. Gray var. haydenianus (A. Gray) Barneby","Astragalus bisulcatus var. haydenianus","Astragalus","bisulcatus","var. haydenianus","5",5,"Native","Ackerfield 2015","Astragalus bisulcatus var. haydenianus","Astragalus bisulcatus var. haydenianus","Perennial"
"321","ASBO","ASBO","FQA_SciName","Fabaceae","Astragalus bodinii Sheldon","Astragalus bodinii","Astragalus","bodinii",NA,"8",8,"Native","Ackerfield 2015","Astragalus bodinii","Astragalus bodinii","Perennial"
"322","ASBR5","ASBR5","FQA_SciName","Fabaceae","Astragalus brandegeei Porter","Astragalus brandegeei","Astragalus","brandegeei",NA,"7",7,"Native","Ackerfield 2015","Astragalus brandegeei","Astragalus brandegeei","Perennial"
"323","ASCA9","ASCA9","FQA_SciName","Fabaceae","Astragalus calycosus Torr. ex S. Watson","Astragalus calycosus","Astragalus","calycosus",NA,"7",7,"Native","Ackerfield 2015","Astragalus calycosus","Astragalus calycosus","Perennial"
"324","ASCAC5","ASCAC5","FQA_SciName","Fabaceae","Astragalus calycosus Torr. ex S. Watson var. calycosus","Astragalus calycosus var. calycosus","Astragalus","calycosus","var. calycosus","7",7,"Native","Ackerfield 2015","Astragalus calycosus var. calycosus","Astragalus calycosus var. calycosus","Perennial"
"325","ASCAS","ASCAS","FQA_SciName","Fabaceae","Astragalus calycosus Torr. ex S. Watson var. scaposus (A. Gray) M.E. Jones","Astragalus calycosus var. scaposus","Astragalus","calycosus","var. scaposus","7",7,"Native","Ackerfield 2015","Astragalus calycosus var. scaposus","Astragalus calycosus var. scaposus","Perennial"
"326","ASCA11","ASCA11","FQA_SciName","Fabaceae","Astragalus canadensis L.","Astragalus canadensis","Astragalus","canadensis",NA,"5",5,"Native","Ackerfield 2015","Astragalus canadensis","Astragalus canadensis","Perennial"
"327","ASCAB","ASCAB","FQA_SciName","Fabaceae","Astragalus canadensis L. var. brevidens (Gandog.) Barneby","Astragalus canadensis var. brevidens","Astragalus","canadensis","var. brevidens","5",5,"Native","Ackerfield 2015","Astragalus canadensis var. brevidens","Astragalus canadensis var. brevidens","Perennial"
"328","ASCAC6","ASCAC6","FQA_SciName","Fabaceae","Astragalus canadensis L. var. canadensis","Astragalus canadensis var. canadensis","Astragalus","canadensis","var. canadensis","5",5,"Native","Ackerfield 2015","Astragalus canadensis var. canadensis","Astragalus canadensis var. canadensis","Perennial"
"329","ASCE","ASCE","FQA_SciName","Fabaceae","Astragalus ceramicus Sheldon","Astragalus ceramicus","Astragalus","ceramicus",NA,"7",7,"Native","Ackerfield 2015","Astragalus ceramicus","Astragalus ceramicus","Perennial"
"330","ASCEC","ASCEC","FQA_SciName","Fabaceae","Astragalus ceramicus Sheldon var. ceramicus","Astragalus ceramicus var. ceramicus","Astragalus","ceramicus","var. ceramicus","6",6,"Native","Ackerfield 2015","Astragalus ceramicus var. ceramicus","Astragalus ceramicus var. ceramicus","Perennial"
"331","ASCEF","ASCEF","FQA_SciName","Fabaceae","Astragalus ceramicus Sheldon var. filifolius (A. Gray) F.J. Herm.","Astragalus ceramicus var. filifolius","Astragalus","ceramicus","var. filifolius","7",7,"Native","Ackerfield 2015","Astragalus ceramicus var. filifolius","Astragalus ceramicus var. filifolius","Perennial"
"332","ASCE2","ASCE2","FQA_SciName","Fabaceae","Astragalus cerussatus Sheldon","Astragalus cerussatus","Astragalus","cerussatus",NA,"7",7,"Native","Ackerfield 2015","Astragalus cerussatus","Astragalus cerussatus","Annual, Perennial"
"333","ASCHC2","ASCHC2","FQA_SciName","Fabaceae","Astragalus chamaeleuce A. Gray var. chamaeleuce","Astragalus chamaeleuce var. chamaeleuce","Astragalus","chamaeleuce","var. chamaeleuce","7",7,"Native","Ackerfield 2015","Astragalus chamaeleuce var. chamaeleuce","Astragalus chamaeleuce var. chamaeleuce","Perennial"
"334","ASCH7","ASCH7","FQA_SciName","Fabaceae","Astragalus chloodes Barneby","Astragalus chloodes","Astragalus","chloodes",NA,"8",8,"Native","Ackerfield 2015","Astragalus chloodes","Astragalus chloodes","Perennial"
"335","ASCI2","ASCI2","FQA_SciName","Fabaceae","Astragalus cibarius Sheldon","Astragalus cibarius","Astragalus","cibarius",NA,"4",4,"Native","Ackerfield 2015","Astragalus cibarius","Astragalus cibarius","Perennial"
"336","ASCI4","ASCI4","FQA_SciName","Fabaceae","Astragalus cicer L.","Astragalus cicer","Astragalus","cicer",NA,"0",0,"Non-native","Ackerfield 2015","Astragalus cicer","Astragalus cicer","Perennial"
"337","ASCO8","ASCO8","FQA_SciName","Fabaceae","Astragalus coltonii M.E. Jones","Astragalus coltonii","Astragalus","coltonii",NA,"6",6,"Native","Ackerfield 2015","Astragalus coltonii","Astragalus coltonii","Perennial"
"338","ASCOC8","ASCOC8","FQA_SciName","Fabaceae","Astragalus coltonii M.E. Jones var. coltonii","Astragalus coltonii var. coltonii","Astragalus","coltonii","var. coltonii","6",6,"Native","Ackerfield 2015","Astragalus coltonii var. coltonii","Astragalus coltonii var. coltonii","Perennial"
"339","ASCOM2","ASCOM2","FQA_SciName","Fabaceae","Astragalus coltonii M.E. Jones var. moabensis M.E. Jones","Astragalus coltonii var. moabensis","Astragalus","coltonii","var. moabensis","6",6,"Native","Ackerfield 2015","Astragalus coltonii var. moabensis","Astragalus coltonii var. moabensis","Perennial"
"340","ASCO12","ASCO12","FQA_SciName","Fabaceae","Astragalus convallarius Greene","Astragalus convallarius","Astragalus","convallarius",NA,"6",6,"Native","Ackerfield 2015","Astragalus convallarius","Astragalus convallarius","Perennial"
"341","ASCR2","ASCR2","FQA_SciName","Fabaceae","Astragalus crassicarpus Nutt.","Astragalus crassicarpus","Astragalus","crassicarpus",NA,"6",6,"Native","Ackerfield 2015","Astragalus crassicarpus","Astragalus crassicarpus","Perennial"
"342","ASCR4","ASCR4","FQA_SciName","Fabaceae","Astragalus cronquistii Barneby","Astragalus cronquistii","Astragalus","cronquistii",NA,"4",4,"Native","Ackerfield 2015","Astragalus cronquistii","Astragalus cronquistii","Perennial"
"343","ASDE11","ASDE11","FQA_SciName","Fabaceae","Astragalus debequaeus S.L. Welsh","Astragalus debequaeus","Astragalus","debequaeus",NA,"8",8,"Native","Ackerfield 2015","Astragalus debequaeus","Astragalus debequaeus","Perennial"
"344","ASDE3","ASDE3","FQA_SciName","Fabaceae","Astragalus desperatus M.E. Jones","Astragalus desperatus","Astragalus","desperatus",NA,"8",8,"Native","Ackerfield 2015","Astragalus desperatus","Astragalus desperatus","Perennial"
"345","ASDED","ASDED","FQA_SciName","Fabaceae","Astragalus desperatus M.E. Jones var. desperatus","Astragalus desperatus var. desperatus","Astragalus","desperatus","var. desperatus","8",8,"Native","Ackerfield 2015","Astragalus desperatus var. desperatus","Astragalus desperatus var. desperatus","Perennial"
"346","ASDEN","ASDEN","FQA_SciName","Fabaceae","Astragalus desperatus M.E. Jones var. neeseae Barneby","Astragalus desperatus var. neeseae","Astragalus","desperatus","var. neeseae","8",8,"Native","Ackerfield 2015","Astragalus desperatus var. neeseae","Astragalus desperatus var. neeseae","Perennial"
"347","ASDE4","ASDE4","FQA_SciName","Fabaceae","Astragalus deterior (Barneby) Barneby","Astragalus deterior","Astragalus","deterior",NA,"9",9,"Native","Ackerfield 2015","Astragalus deterior","Astragalus deterior","Perennial"
"348","ASDE5","ASDE5","FQA_SciName","Fabaceae","Astragalus detritalis M.E. Jones","Astragalus detritalis","Astragalus","detritalis",NA,"8",8,"Native","Ackerfield 2015","Astragalus detritalis","Astragalus detritalis","Perennial"
"349","ASDR3","ASDR3","FQA_SciName","Fabaceae","Astragalus drummondii Douglas ex Hook.","Astragalus drummondii","Astragalus","drummondii",NA,"6",6,"Native","Ackerfield 2015","Astragalus drummondii","Astragalus drummondii","Perennial"
"350","ASDU2","ASDU2","FQA_SciName","Fabaceae","Astragalus duchesnensis M.E. Jones","Astragalus duchesnensis","Astragalus","duchesnensis",NA,"9",9,"Native","Ackerfield 2015","Astragalus duchesnensis","Astragalus duchesnensis","Perennial"
"351","ASEA2","ASEA2","FQA_SciName","Fabaceae","Astragalus eastwoodiae M.E. Jones","Astragalus eastwoodiae","Astragalus","eastwoodiae",NA,"8",8,"Native","Ackerfield 2015","Astragalus eastwoodiae","Astragalus eastwoodiae","Perennial"
"352","ASEU2","ASEU2","FQA_SciName","Fabaceae","Astragalus eucosmus B.L. Rob.","Astragalus eucosmus","Astragalus","eucosmus",NA,"7",7,"Native","Ackerfield 2015","Astragalus eucosmus","Astragalus eucosmus","Perennial"
"353","ASFA3","ASFA3","FQA_SciName","Fabaceae","Astragalus falcatus Lam.","Astragalus falcatus","Astragalus","falcatus",NA,"0",0,"Non-native","Ackerfield 2015","Astragalus falcatus","Astragalus falcatus","Perennial"
"354","ASFL","ASFL","FQA_SciName","Fabaceae","Astragalus flavus Nutt.","Astragalus flavus","Astragalus","flavus",NA,"5",5,"Native","Ackerfield 2015","Astragalus flavus","Astragalus flavus","Perennial"
"355","ASFL2","ASFL2","FQA_SciName","Fabaceae","Astragalus flexuosus Douglas ex G. Don","Astragalus flexuosus","Astragalus","flexuosus",NA,"6",6,"Native","Ackerfield 2015","Astragalus flexuosus","Astragalus flexuosus","Perennial"
"356","ASFLD","ASFLD","FQA_SciName","Fabaceae","Astragalus flexuosus Douglas ex G. Don var. diehlii (M.E. Jones) Barneby","Astragalus flexuosus var. diehlii","Astragalus","flexuosus","var. diehlii","6",6,"Native","Ackerfield 2015","Astragalus flexuosus var. diehlii","Astragalus flexuosus var. diehlii","Perennial"
"357","ASFLF","ASFLF","FQA_SciName","Fabaceae","Astragalus flexuosus Douglas ex G. Don var. flexuosus","Astragalus flexuosus var. flexuosus","Astragalus","flexuosus","var. flexuosus","6",6,"Native","Ackerfield 2015","Astragalus flexuosus var. flexuosus","Astragalus flexuosus var. flexuosus","Perennial"
"358","ASFLG","ASFLG","FQA_SciName","Fabaceae","Astragalus flexuosus Douglas ex G. Don var. greenei (A. Gray) Barneby","Astragalus flexuosus var. greenei","Astragalus","flexuosus","var. greenei","6",6,"Native","Ackerfield 2015","Astragalus flexuosus var. greenei","Astragalus flexuosus var. greenei","Perennial"
"359","ASFU2","ASFU2","FQA_SciName","Fabaceae","Astragalus fucatus Barneby","Astragalus fucatus","Astragalus","fucatus",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Astragalus fucatus ","Astragalus fucatus","Perennial"
"360","ASGEG","ASGEG","FQA_SciName","Fabaceae","Astragalus geyeri A. Gray var. geyeri","Astragalus geyeri var. geyeri","Astragalus","geyeri","var. geyeri","Not Assigned",NA,"Native","Ackerfield 2015","Astragalus geyeri var. geyeri","Astragalus geyeri var. geyeri","Biennial, Annual"
"361","ASGI5","ASGI5","FQA_SciName","Fabaceae","Astragalus gilviflorus Sheldon","Astragalus gilviflorus","Astragalus","gilviflorus",NA,"9",9,"Native","Ackerfield 2015","Astragalus gilviflorus","Astragalus gilviflorus","Perennial"
"362","ASGR3","ASGR3","FQA_SciName","Fabaceae","Astragalus gracilis Nutt.","Astragalus gracilis","Astragalus","gracilis",NA,"6",6,"Native","Ackerfield 2015","Astragalus gracilis","Astragalus gracilis","Perennial"
"363","ASHAH","ASHAH","FQA_SciName","Fabaceae","Astragalus hallii A. Gray var. hallii","Astragalus hallii var. hallii","Astragalus","hallii","var. hallii","4",4,"Native","Ackerfield 2015","Astragalus hallii var. hallii","Astragalus hallii var. hallii","Perennial"
"364","ASHU","ASHU","FQA_SciName","Fabaceae","Astragalus humillimus A. Gray","Astragalus humillimus","Astragalus","humillimus",NA,"9",9,"Native","Ackerfield 2015","Astragalus humillimus","Astragalus humillimus","Perennial"
"365","ASHUH3","ASHUH3","FQA_SciName","Fabaceae","Astragalus humistratus A. Gray var. humistratus ","Astragalus humistratus var. humistratus ","Astragalus","humistratus","var. humistratus","9",9,"Native","Ackerfield 2015","Astragalus humistratus var. humistratus ","Astragalus humistratus var. humistratus","Perennial"
"366","ASHY2","ASHY2","FQA_SciName","Fabaceae","Astragalus hyalinus M.E. Jones","Astragalus hyalinus","Astragalus","hyalinus",NA,"9",9,"Native","Ackerfield 2015","Astragalus hyalinus","Astragalus hyalinus","Perennial"
"367","ASIO2","ASIO2","FQA_SciName","Fabaceae","Astragalus iodopetalus (Rydb.) Barneby","Astragalus iodopetalus","Astragalus","iodopetalus",NA,"7",7,"Native","Ackerfield 2015","Astragalus iodopetalus","Astragalus iodopetalus","Perennial"
"368","ASJE2","ASJE2","FQA_SciName","Fabaceae","Astragalus jejunus S. Watson","Astragalus jejunus","Astragalus","jejunus",NA,"7",7,"Native","Ackerfield 2015","Astragalus jejunus","Astragalus jejunus","Perennial"
"369","ASKE","ASKE","FQA_SciName","Fabaceae","Astragalus kentrophyta A. Gray","Astragalus kentrophyta","Astragalus","kentrophyta",NA,"8",8,"Native","Ackerfield 2015","Astragalus kentrophyta","Astragalus kentrophyta","Perennial"
"370","ASKEE","ASKEE","FQA_SciName","Fabaceae","Astragalus kentrophyta A. Gray var. elatus S. Watson","Astragalus kentrophyta var. elatus","Astragalus","kentrophyta","var. elatus","8",8,"Native","Ackerfield 2015","Astragalus kentrophyta var. elatus","Astragalus kentrophyta var. elatus","Perennial"
"371","ASKEK","ASKEK","FQA_SciName","Fabaceae","Astragalus kentrophyta A. Gray var. kentrophyta","Astragalus kentrophyta var. kentrophyta","Astragalus","kentrophyta","var. kentrophyta","7",7,"Native","Ackerfield 2015","Astragalus kentrophyta var. kentrophyta","Astragalus kentrophyta var. kentrophyta","Perennial"
"372","ASKET","ASKET","FQA_SciName","Fabaceae","Astragalus kentrophyta A. Gray var. tegetarius (S. Watson) Dorn","Astragalus kentrophyta var. tegetarius","Astragalus","kentrophyta","var. tegetarius","8",8,"Native","Ackerfield 2015","Astragalus kentrophyta var. tegetarius","Astragalus kentrophyta var. tegetarius","Perennial"
"373","ASLAR","ASLAR","FQA_SciName","Fabaceae","Astragalus laxmannii Jacq. var. robustior (Hook.) Barneby & S.L. Welsh","Astragalus laxmannii var. robustior","Astragalus","laxmannii","var. robustior","6",6,"Native","Ackerfield 2015","Astragalus laxmannii var. robustior","Astragalus laxmannii var. robustior","Perennial"
"374","ASLE8","ASLE8","FQA_SciName","Fabaceae","Astragalus lentiginosus Douglas ex Hook.","Astragalus lentiginosus","Astragalus","lentiginosus",NA,"5",5,"Native","Ackerfield 2015","Astragalus lentiginosus","Astragalus lentiginosus","Annual, Biennial, Perennial"
"375","ASLEC","ASLEC","FQA_SciName","Fabaceae","Astragalus lentiginosus Douglas ex Hook. var. chartaceus M.E. Jones","Astragalus lentiginosus var. chartaceus","Astragalus","lentiginosus","var. chartaceus","5",5,"Native","Ackerfield 2015","Astragalus lentiginosus var. chartaceus","Astragalus lentiginosus var. chartaceus","Perennial"
"376","ASLED","ASLED","FQA_SciName","Fabaceae","Astragalus lentiginosus Douglas ex Hook. var. diphysus (A. Gray) M.E. Jones","Astragalus lentiginosus var. diphysus","Astragalus","lentiginosus","var. diphysus","5",5,"Native","Ackerfield 2015","Astragalus lentiginosus var. diphysus","Astragalus lentiginosus var. diphysus","Perennial"
"377","ASLEP","ASLEP","FQA_SciName","Fabaceae","Astragalus lentiginosus Douglas ex Hook. var. palans (M.E. Jones) M.E. Jones","Astragalus lentiginosus var. palans","Astragalus","lentiginosus","var. palans","5",5,"Native","Ackerfield 2015","Astragalus lentiginosus var. palans","Astragalus lentiginosus var. palans","Biennial, Perennial"
"378","ASLE9","ASLE9","FQA_SciName","Fabaceae","Astragalus leptaleus A. Gray","Astragalus leptaleus","Astragalus","leptaleus",NA,"8",8,"Native","Ackerfield 2015","Astragalus leptaleus","Astragalus leptaleus","Perennial"
"379","ASLI5","ASLI5","FQA_SciName","Fabaceae","Astragalus linifolius Osterh.","Astragalus linifolius","Astragalus","linifolius",NA,"8",8,"Native","Ackerfield 2015","Astragalus linifolius","Astragalus linifolius","Perennial"
"380","ASLO3","ASLO3","FQA_SciName","Fabaceae","Astragalus lonchocarpus Torr.","Astragalus lonchocarpus","Astragalus","lonchocarpus",NA,"6",6,"Native","Ackerfield 2015","Astragalus lonchocarpus","Astragalus lonchocarpus","Perennial"
"381","ASLO4","ASLO4","FQA_SciName","Fabaceae","Astragalus lotiflorus Hook.","Astragalus lotiflorus","Astragalus","lotiflorus",NA,"6",6,"Native","Ackerfield 2015","Astragalus lotiflorus","Astragalus lotiflorus","Perennial"
"382","ASLU2","ASLU2","FQA_SciName","Fabaceae","Astragalus lutosus M.E. Jones","Astragalus lutosus","Astragalus","lutosus",NA,"9",9,"Native","Ackerfield 2015","Astragalus lutosus","Astragalus lutosus","Perennial"
"383","ASME2","ASME2","FQA_SciName","Fabaceae","Astragalus megacarpus (Nutt.) A. Gray","Astragalus megacarpus","Astragalus","megacarpus",NA,"7",7,"Native","Ackerfield 2015","Astragalus megacarpus","Astragalus megacarpus","Perennial"
"384","ASMI3","ASMI3","FQA_SciName","Fabaceae","Astragalus microcymbus Barneby","Astragalus microcymbus","Astragalus","microcymbus",NA,"7",7,"Native","Ackerfield 2015","Astragalus microcymbus","Astragalus microcymbus","Perennial"
"385","ASMIO","ASMIO","FQA_SciName","Fabaceae","Astragalus miser Douglas ex Hook. var. oblongifolius (Rydb.) Cronquist","Astragalus miser var. oblongifolius","Astragalus","miser","var. oblongifolius","6",6,"Native","Ackerfield 2015","Astragalus miser var. oblongifolius","Astragalus miser var. oblongifolius","Perennial"
"386","ASMI10","ASMI10","FQA_SciName","Fabaceae","Astragalus missouriensis Nutt.","Astragalus missouriensis","Astragalus","missouriensis",NA,"6",6,"Native","Ackerfield 2015","Astragalus missouriensis","Astragalus missouriensis","Perennial"
"387","ASMIA","ASMIA","FQA_SciName","Fabaceae","Astragalus missouriensis Nutt. var. amphibolus Barneby","Astragalus missouriensis var. amphibolus","Astragalus","missouriensis","var. amphibolus","6",6,"Native","Ackerfield 2015","Astragalus missouriensis var. amphibolus","Astragalus missouriensis var. amphibolus","Perennial"
"388","ASMIH2","ASMIH2","FQA_SciName","Fabaceae","Astragalus missouriensis Nutt. var. humistratus Isely","Astragalus missouriensis var. humistratus","Astragalus","missouriensis","var. humistratus","6",6,"Native","Ackerfield 2015","Astragalus missouriensis var. humistratus","Astragalus missouriensis var. humistratus","Perennial"
"389","ASMIM5","ASMIM5","FQA_SciName","Fabaceae","Astragalus missouriensis Nutt. var. missouriensis","Astragalus missouriensis var. missouriensis","Astragalus","missouriensis","var. missouriensis","6",6,"Native","Ackerfield 2015","Astragalus missouriensis var. missouriensis","Astragalus missouriensis var. missouriensis","Perennial"
"390","ASMO7","ASMO7","FQA_SciName","Fabaceae","Astragalus mollissimus Torr.","Astragalus mollissimus","Astragalus","mollissimus",NA,"5",5,"Native","Ackerfield 2015","Astragalus mollissimus","Astragalus mollissimus","Perennial"
"391","ASMO8","ASMO8","FQA_SciName","Fabaceae","Astragalus molybdenus Barneby","Astragalus molybdenus","Astragalus","molybdenus",NA,"8",8,"Native","Ackerfield 2015","Astragalus molybdenus","Astragalus molybdenus","Perennial"
"392","ASMOC2","ASMOC2","FQA_SciName","Fabaceae","Astragalus monumentalis Barneby var. cottamii (S.L. Welsh) Isely","Astragalus monumentalis var. cottamii","Astragalus","monumentalis","var. cottamii","9",9,"Native","Ackerfield 2015","Astragalus monumentalis var. cottamii","Astragalus monumentalis var. cottamii","Perennial"
"393","ASMU3","ASMU3","FQA_SciName","Fabaceae","Astragalus musiniensis M.E. Jones","Astragalus musiniensis","Astragalus","musiniensis",NA,"9",9,"Native","Ackerfield 2015","Astragalus musiniensis","Astragalus musiniensis","Perennial"
"394","ASNA","ASNA","FQA_SciName","Fabaceae","Astragalus naturitensis Payson","Astragalus naturitensis","Astragalus","naturitensis",NA,"5",5,"Native","Ackerfield 2015","Astragalus naturitensis","Astragalus naturitensis","Perennial"
"395","ASNEN","ASNEN","FQA_SciName","Fabaceae","Astragalus newberryi A. Gray var. newberryi","Astragalus newberryi var. newberryi","Astragalus","newberryi","var. newberryi","Not Assigned",NA,"Native","Ackerfield 2015","Astragalus newberryi var. newberryi","Astragalus newberryi var. newberryi","Perennial"
"396","ASNUM2","ASNUM2","FQA_SciName","Fabaceae","Astragalus nuttallianus DC. var. micranthiformis Barneby","Astragalus nuttallianus var. micranthiformis","Astragalus","nuttallianus","var. micranthiformis","1",1,"Native","Ackerfield 2015","Astragalus nuttallianus var. micranthiformis","Astragalus nuttallianus var. micranthiformis","Annual, Perennial"
"397","ASOO","ASOO","FQA_SciName","Fabaceae","Astragalus oocalycis M.E. Jones","Astragalus oocalycis","Astragalus","oocalycis",NA,"7",7,"Native","Ackerfield 2015","Astragalus oocalycis","Astragalus oocalycis","Perennial"
"398","ASOOC","ASOOC","FQA_SciName","Fabaceae","Astragalus oophorus S. Watson var. caulescens (M.E. Jones) M.E. Jones","Astragalus oophorus var. caulescens","Astragalus","oophorus","var. caulescens","7",7,"Native","Ackerfield 2015","Astragalus oophorus var. caulescens","Astragalus oophorus var. caulescens","Perennial"
"399","ASOS","ASOS","FQA_SciName","Fabaceae","Astragalus osterhoutii M.E. Jones","Astragalus osterhoutii","Astragalus","osterhoutii",NA,"8",8,"Native","Ackerfield 2015","Astragalus osterhoutii","Astragalus osterhoutii","Perennial"
"400","ASPA13","ASPA13","FQA_SciName","Fabaceae","Astragalus parryi A. Gray","Astragalus parryi","Astragalus","parryi",NA,"4",4,"Native","Ackerfield 2015","Astragalus parryi","Astragalus parryi","Perennial"
"401","ASPA14","ASPA14","FQA_SciName","Fabaceae","Astragalus pattersonii A. Gray ex Brandegee","Astragalus pattersonii","Astragalus","pattersonii",NA,"6",6,"Native","Ackerfield 2015","Astragalus pattersonii","Astragalus pattersonii","Perennial"
"402","ASPE5","ASPE5","FQA_SciName","Fabaceae","Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don","Astragalus pectinatus","Astragalus","pectinatus",NA,"5",5,"Native","Ackerfield 2015","Astragalus pectinatus","Astragalus pectinatus","Perennial"
"403","ASPE5","ZZ_ASPEP50","FQA_SciName InventedSymbol","Fabaceae","Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don var. pectinatus","Astragalus pectinatus var. pectinatus","Astragalus","pectinatus","var. pectinatus","6",6,"Native","Ackerfield 2015","Astragalus pectinatus","Astragalus pectinatus var. pectinatus","Perennial"
"404","ASNE3","ASPEP","FQA_SciName","Fabaceae","Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don var. platyphyllus M.E. Jones","Astragalus pectinatus var. platyphyllus","Astragalus","pectinatus","var. platyphyllus","Not Assigned",NA,"Native","Ackerfield 2015","Astragalus nelsonianus","Astragalus pectinatus var. platyphyllus","Perennial"
"405","ASPI6","ASPI6","FQA_SciName","Fabaceae","Astragalus piscator Barneby & S.L. Welsh","Astragalus piscator","Astragalus","piscator",NA,"7",7,"Native","Ackerfield 2015","Astragalus piscator","Astragalus piscator","Perennial"
"406","ASPL2","ASPL2","FQA_SciName","Fabaceae","Astragalus plattensis Nutt.","Astragalus plattensis","Astragalus","plattensis",NA,"7",7,"Native","Ackerfield 2015","Astragalus plattensis","Astragalus plattensis","Perennial"
"407","ASPR5","ASPR5","FQA_SciName","Fabaceae","Astragalus praelongus Sheldon","Astragalus praelongus","Astragalus","praelongus",NA,"5",5,"Native","Ackerfield 2015","Astragalus praelongus","Astragalus praelongus","Perennial"
"408","ASPRL","ASPRL","FQA_SciName","Fabaceae","Astragalus praelongus Sheldon var. lonchopus Barneby","Astragalus praelongus var. lonchopus","Astragalus","praelongus","var. lonchopus","5",5,"Native","Ackerfield 2015","Astragalus praelongus var. lonchopus","Astragalus praelongus var. lonchopus","Perennial"
"409","ASPRP2","ASPRP2","FQA_SciName","Fabaceae","Astragalus praelongus Sheldon var. praelongus","Astragalus praelongus var. praelongus","Astragalus","praelongus","var. praelongus","5",5,"Native","Ackerfield 2015","Astragalus praelongus var. praelongus","Astragalus praelongus var. praelongus","Perennial"
"410","ASPR6","ASPR6","FQA_SciName","Fabaceae","Astragalus preussii A. Gray","Astragalus preussii","Astragalus","preussii",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Astragalus preussii","Astragalus preussii","Perennial"
"411","ASPR8","ASPR8","FQA_SciName","Fabaceae","Astragalus proximus (Rydb.) Woot. & Standl.","Astragalus proximus","Astragalus","proximus",NA,"7",7,"Native","Ackerfield 2015","Astragalus proximus","Astragalus proximus","Perennial"
"412","ASPU6","ASPU6","FQA_SciName","Fabaceae","Astragalus pubentissimus Torr. & A. Gray","Astragalus pubentissimus","Astragalus","pubentissimus",NA,"7",7,"Native","Ackerfield 2015","Astragalus pubentissimus","Astragalus pubentissimus","Annual, Biennial, Perennial"
"413","ASPUP6","ASPUP6","FQA_SciName","Fabaceae","Astragalus puniceus Osterh. var. puniceus","Astragalus puniceus var. puniceus","Astragalus","puniceus","var. puniceus","6",6,"Native","Ackerfield 2015","Astragalus puniceus var. puniceus","Astragalus puniceus var. puniceus","Perennial"
"414","ASPUP7","ASPUP7","FQA_SciName","Fabaceae","Astragalus purshii Douglas ex Hook. var. purshii","Astragalus purshii var. purshii","Astragalus","purshii","var. purshii","7",7,"Native","Ackerfield 2015","Astragalus purshii var. purshii","Astragalus purshii var. purshii","Perennial"
"415","ASRA2","ASRA2","FQA_SciName","Fabaceae","Astragalus racemosus Pursh","Astragalus racemosus","Astragalus","racemosus",NA,"5",5,"Native","Ackerfield 2015","Astragalus racemosus","Astragalus racemosus","Perennial"
"416","ASRAR2","ASRAR2","FQA_SciName","Fabaceae","Astragalus racemosus Pursh var. racemosus","Astragalus racemosus var. racemosus","Astragalus","racemosus","var. racemosus","5",5,"Native","Ackerfield 2015","Astragalus racemosus var. racemosus","Astragalus racemosus var. racemosus","Perennial"
"417","ASRAT","ASRAT","FQA_SciName","Fabaceae","Astragalus racemosus Pursh var. treleasei Ced. Porter","Astragalus racemosus var. treleasei","Astragalus","racemosus","var. treleasei","5",5,"Native","Ackerfield 2015","Astragalus racemosus var. treleasei","Astragalus racemosus var. treleasei","Perennial"
"418","ASRA3","ASRA3","FQA_SciName","Fabaceae","Astragalus rafaelensis M.E. Jones","Astragalus rafaelensis","Astragalus","rafaelensis",NA,"8",8,"Native","Ackerfield 2015","Astragalus rafaelensis","Astragalus rafaelensis","Perennial"
"419","ASRI2","ASRI2","FQA_SciName","Fabaceae","Astragalus ripleyi Barneby","Astragalus ripleyi","Astragalus","ripleyi",NA,"7",7,"Native","Ackerfield 2015","Astragalus ripleyi","Astragalus ripleyi","Perennial"
"420","ASROM","ASROM","FQA_SciName","Fabaceae","Astragalus robbinsii (Oakes) A. Gray var. minor (Hook.) Barneby","Astragalus robbinsii var. minor","Astragalus","robbinsii","var. minor","7",7,"Native","Ackerfield 2015","Astragalus robbinsii var. minor","Astragalus robbinsii var. minor","Perennial"
"421","ASSA5","ASSA5","FQA_SciName","Fabaceae","Astragalus saurinus Barneby","Astragalus saurinus","Astragalus","saurinus",NA,"8",8,"Native","Ackerfield 2015","Astragalus saurinus","Astragalus saurinus","Perennial"
"422","ASSC5","ASSC5","FQA_SciName","Fabaceae","Astragalus schmolliae Ced. Porter","Astragalus schmolliae","Astragalus","schmolliae",NA,"8",8,"Native","Ackerfield 2015","Astragalus schmolliae","Astragalus schmolliae","Perennial"
