"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"1853","LITE2","LITE2","FQA_SciName","Apiaceae","Ligusticum tenuifolium S. Watson","Ligusticum tenuifolium","Ligusticum","tenuifolium",NA,"8",8,"Native","Ackerfield 2015","Ligusticum tenuifolium","Ligusticum tenuifolium","Perennial"
"1854","LIVU","LIVU","FQA_SciName","Oleaceae","Ligustrum vulgare L.","Ligustrum vulgare","Ligustrum","vulgare",NA,"0",0,"Non-native","Ackerfield 2015","Ligustrum vulgare","Ligustrum vulgare","Perennial"
"1855","LIPH","LIPH","FQA_SciName","Liliaceae","Lilium philadelphicum L.","Lilium philadelphicum","Lilium","philadelphicum",NA,"9",9,"Native","Ackerfield 2015","Lilium philadelphicum","Lilium philadelphicum","Perennial"
"1856","LIAQ","LIAQ","FQA_SciName","Scrophulariaceae","Limosella aquatica L.","Limosella aquatica","Limosella","aquatica",NA,"7",7,"Native","Ackerfield 2015","Limosella aquatica","Limosella aquatica","Annual, Perennial"
"1857","LICA36","LICA36","FQA_SciName","Polemoniaceae","Linanthus caespitosus (Nutt.) J.M. Porter & L.A. Johnson","Linanthus caespitosus","Linanthus","caespitosus",NA,"6",6,"Native","Ackerfield 2015","Linanthus caespitosus","Linanthus caespitosus","Perennial"
"1858","LIPU11","LIPU11","FQA_SciName","Polemoniaceae","Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson","Linanthus pungens","Linanthus","pungens",NA,"6",6,"Native","Ackerfield 2015","Linanthus pungens","Linanthus pungens","Perennial"
"1859","LIWA4","LIWA4","FQA_SciName","Polemoniaceae","Linanthus watsonii (A. Gray) J.M. Porter & L.A. Johnson","Linanthus watsonii","Linanthus","watsonii",NA,"7",7,"Native","Ackerfield 2015","Linanthus watsonii","Linanthus watsonii","Perennial"
"1860","NUTE","LICAT2","FQA_SciName","Plantaginaceae","Linaria canadensis (L.) Chaz. var. texana (Scheele) Pennell","Linaria canadensis var. texana","Linaria","canadensis","var. texana","7",7,"Native","Ackerfield 2015","Nuttallanthus texanus","Linaria canadensis var. texana","Annual, Biennial"
"1861","LIDA","LIDA","FQA_SciName","Plantaginaceae","Linaria dalmatica (L.) Mill.","Linaria dalmatica","Linaria","dalmatica",NA,"0",0,"Non-native","Ackerfield 2015","Linaria dalmatica","Linaria dalmatica","Perennial"
"1862","LIVU2","LIVU2","FQA_SciName","Plantaginaceae","Linaria vulgaris Mill.","Linaria vulgaris","Linaria","vulgaris",NA,"0",0,"Non-native","Ackerfield 2015","Linaria vulgaris","Linaria vulgaris","Perennial"
"1863","LIDUA","LIDUA","FQA_SciName","Plantaginaceae","Lindernia dubia (L.) Pennell var. anagallidea (Michx.) Cooperr.","Lindernia dubia var. anagallidea","Lindernia","dubia","var. anagallidea","Not Assigned",NA,"Native","Ackerfield 2015","Lindernia dubia var. anagallidea","Lindernia dubia var. anagallidea","Biennial, Annual"
"1864","LIBOL2","LIBOL2","FQA_SciName","Caprifoliaceae","Linnaea borealis L. ssp. longiflora (Torr.) Hultén","Linnaea borealis var. longiflora","Linnaea","borealis","var. longiflora","9",9,"Native","Ackerfield 2015","Linnaea borealis var. longiflora","Linnaea borealis var. longiflora","Perennial"
