SYMBOL_AIM,SYMBOL_USDA,BINOMIAL_NAT,BINOMIAL_ACK,GROWTHHABIT,GROWTHHABITSUB,DURATION,NATIVITY,INVASIVE,PHOTOSYNTHETIC,RESPROUT,FUNCTIONAL
COAR4,COAR4,Convolvulus arvensis,Convolvulus arvensis,NONWOODY,FORB,PERENNIAL,NA,TRUE,NA,NA,NoxPerenForbCover 
HEBO,HEBO,Hedysarum boreale,Hedysarum boreale,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
CHST,CHST,Chaenactis stevioides,Chaenactis stevioides,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ASTE5,ASTE5,Astragalus tenellus,Astragalus tenellus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
HECOC8,HECO26,Hesperostipa comata ssp. Comata,Hesperostipa comata,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
HECO26,HECO26,Hesperostipa comata,Hesperostipa comata,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
LAOCC,LAOCC,Lappula occidentalis var. cupulata,Lappula occidentalis var. cupulata,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ERFO3,ERFO3,Erigeron formosissimus,Erigeron formosissimus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PUST,PUST,Purshia stansburiana,Purshia stansburiana,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NON-RESPROUT,NonNoxShrubCover 
SUNI,SUMO,Suaeda moquinii,Suaeda nigra,WOODY,SUBSHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxSubShrubCover 
AGSC5,AGSC5,Agrostis scabra,Agrostis scabra,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
CHNA2,ERNA10,Ericameria nauseosa,Ericameria nauseosa,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
CHCA4,CHCA4,Chenopodium capitatum,Chenopodium capitatum,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ARSP5,PIDE4,Picrothamnus desertorum,Artemisia spinescens,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
CHAT,CHAT,Chenopodium atrovirens,Chenopodium atrovirens,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
SIIR,SIIR,NA,NA,NONWOODY,FORB,ANNUAL,NA,TRUE,NA,NA,NoxAnnForbCover 
COOR,COOR,Conringia orientalis,Conringia orientalis,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ERCO15,ERCO15,Erigeron consimilis,Erigeron consimilis,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
METH,MEHUH,Mentzelia humilis var. humilis,Mentzelia thompsonii,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ZIVE,ZIVEG,Zigadenus venenosus var. gramineus,Zigadenus paniculatus var. gramineus,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
COCA5,COCA5,Conyza canadensis,Conyza canadensis,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
SYCI2,SYCI2,Symphyotrichum ciliatum,Symphyotrichum ciliatum,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
PODO4,PODO4,Polygonum douglasii,Polygonum douglasii,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ALAC,ALAC4,Allium acuminatum,Allium acuminatum,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
LOGRG2,LOGRG2,Lomatium grayi var. grayi,Lomatium grayi var. grayi,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
SILI5,SCLI,Schoenocrambe linifolia,Sisymbrium linifolium,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
PEWA,PEWA,Penstemon watsonii,Penstemon watsonii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
TETO,TETO,Tetraneuris torreyana,Tetraneuris torreyana,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
TRRE3,TRRE3,Trifolium repens,Trifolium repens,NONWOODY,FORB,PERENNIAL,NA,TRUE,NA,NA,NoxPerenForbCover 
PHBE2,PHBE2,Physaria bellii,Physaria bellii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ASAS2,ASAS2,Astragalus asclepiadoides,Astragalus asclepiadoides,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
NASI2,NASI2,Navarretia sinistra,Navarretia sinistra,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ASTH2,ASMOT,Astragalus mollissimus var. thompsoniae,Astragalus thompsoniae,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
COWR2,COWR2,Cordylanthus wrightii,Cordylanthus wrightii,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
PASM,PASM,Pascopyrum smithii,Pascopyrum smithii,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
BERE,MARE11,Mahonia repens,Berberis repens,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
MAFR3,MAFR3,Mahonia fremontii,Berberis fremontii,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxShrubCover 
BEFE,BEFE,Berberis fendleri,Berberis fendleri,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,RESPROUT,NonNoxShrubCover 
THSA2,THSAS,Thelypodium sagittatum ssp. sagittatum,Thelypodium sagittatum ssp. sagittatum,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ARCA12,ARCA12,Artemisia campestris,Artemisia campestris,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
CANUM2,CANUM2,NA,NA,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
CYLE6,PSMO,Pseudocymopterus montanus,Cymopterus lemmonii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
HEPA,HEPA,Helianthella parryi,Helianthella parryi,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
XASP,XASP2,Xanthium spinosum,Xanthium spinosum,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
COLI2,COLI2,Collomia linearis,Collomia linearis,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
ERPA30,ERPA30,Ericameria parryi,Ericameria parryi,WOODY,SHRUB,PERENNIAL,NA,FALSE,NA,RESPROUT,NonNoxShrubCover 
ASLI5,ASLI5,Astragalus linifolius,Astragalus linifolius,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
DRPA2,DRPA2,Dracocephalum parviflorum,Dracocephalum parviflorum,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
WYAM,WYAM,Wyethia amplexicaulis,Wyethia amplexicaulis,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ORSE,ORSE,Orthilia secunda,Orthilia secunda,WOODY,SUBSHRUB,PERENNIAL,NA,FALSE,NA,NA,NonNoxSubShrubCover 
EREX4,EREX4,Erigeron eximius,Erigeron eximius,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
BRCI2,BRCI2,Bromus ciliatus,Bromus ciliatus,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C3,NA,NonNoxPerenGrassCover 
SEAMH,SEAMH,Senecio amplectens var. holmii,Senecio amplectens var. holmii,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
EPBR3,EPBR3,Epilobium brachycarpum,Epilobium brachycarpum,NONWOODY,FORB,ANNUAL,NA,FALSE,NA,NA,NonNoxAnnForbCover 
VIAM,VIAM,Vicia americana,Vicia americana,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
SOCA6,SOCA6,Solidago canadensis,Solidago canadensis,NONWOODY,FORB,PERENNIAL,NA,FALSE,NA,NA,NonNoxPerenForbCover 
ERSP,ERSP,Eragrostis spectabilis,Eragrostis spectabilis,NONWOODY,GRAMINOID,PERENNIAL,NA,FALSE,C4,NA,NonNoxPerenGrassCover 
