"","GNAME","SNAME","SCOMNAME","GRANK","SRANK","ENDEMIC","USESA","BLM_RANK","National_USDASymbol","FQA_SciName_noAuthority","National_SciName_noAuthority"
"477","Bupleurum americanum","Bupleurum triradiatum ssp. arcticum","American Thoroughwax","G5","S1","N",NA,FALSE,"BUAM2","Bupleurum americanum",NA
"478","Hoffmannseggia repens","Caesalpinia repens","Creeping Rush- pea","G3","S1","N",NA,FALSE,"HORE","Hoffmannseggia repens",NA
"479","Notholaena standleyi","Cheilanthes standleyi","Standley's Cloak Fern","G4","S1","N",NA,FALSE,"NOST","Notholaena standleyi",NA
"480","Chrysothamnus baileyi","Chrysothamnus pulchellus ssp. baileyi","Bailey's Rabbitbrush","G4G5","S1","N",NA,FALSE,"CHBA11","Chrysothamnus baileyi",NA
"481","Helianthemum bicknellii","Crocanthemum bicknellii","Plains Frostweed","G5","S2","N",NA,FALSE,"HEBI2","Helianthemum bicknellii",NA
"482","Rubus arcticus ssp. acaulis","Cylactis arctica ssp. acaulis","Nagoon Berry","G5T5","S1","N",NA,FALSE,"RUARA2","Rubus acaulis",NA
"483","Delphinium alpestre","Delphinium ramosum var. alpestre","Colorado Larkspur","G3","S2","N",NA,FALSE,"DEAL","Delphinium alpestre",NA
"484","Lewisia triphylla","Erocallis triphylla","Dwarf Spring Beauty","G4?","S2","N",NA,FALSE,"LETR2","Lewisia triphylla",NA
"485","Eucephalus elegans","Eucephalus perelegans","Nuttall Aster","G5","S1","N",NA,FALSE,"EUEL2","Eucephalus elegans",NA
"486","Eustoma exaltatum ssp. russellianum","Eustoma grandiflorum","Showy Prairie Gentian","G5T5","S3S4","N",NA,FALSE,"EUEXR","Eustoma grandiflorum",NA
"487","Silene kingii","Gastrolychnis kingii","King's Campion","G3","S1","N",NA,FALSE,"SIKI","Silene kingii",NA
"488","Aliciella haydenii","Gilia haydenii","San Juan Gilia","G3","S2","N",NA,FALSE,"ALHA6","Aliciella haydenii",NA
"489","Cuscuta umbellata","Grammica umbellata","Flatglobe Dodder","G5","S2","N",NA,FALSE,"CUUM","Cuscuta umbellata",NA
"490","Mirabilis alipes","Hermidium alipes var. pallidum","Winged Four- o'- Clock","G4","S1","N",NA,FALSE,"MIAL5","Mirabilis alipes",NA
"491","Platanthera zothecina","Limnorchis zothecina","Alcove Bog- orchid","G2G3","S1","N",NA,FALSE,"PLZO","Platanthera zothecina",NA
"492","Linum aristatum","Mesynium aristatum","Bristle Flax","G5","S1","N",NA,FALSE,"LIAR3","Linum aristatum",NA
"493","Monolepis pusilla","Micromonolepis pusilla","Red Poverty- weed","G5","SH","N",NA,FALSE,"MOPU3","Micromonolepis pusilla",NA
"494","Lysimachia thyrsiflora","Naumburgia thyrsiflora","Tufted Loosestrife","G5","S1","N",NA,FALSE,"LYTH2","Lysimachia thyrsiflora",NA
"495","Mentzelia chrysantha","Nuttallia chrysantha","Golden Blazingstar","G2","S2","Y",NA,TRUE,"MECH","Mentzelia chrysantha",NA
"496","Mentzelia cronquistii","Nuttallia cronquistii","Cronquist's Stickleaf","G3?Q","S2","N",NA,FALSE,"MECR4","Mentzelia cronquistii",NA
"497","Mentzelia densa","Nuttallia densa","Royal Gorge blazingstar","G2","S2","Y",NA,TRUE,"MEDE3","Mentzelia densa",NA
"498","Mentzelia pterosperma","Nuttallia pterosperma","Wingseed Blazingstar","G4","S2","N",NA,FALSE,"MEPT","Mentzelia pterosperma",NA
"499","Cryptantha aperta","Oreocarya aperta","Grand Junction Cat's- eye","GH","SH","Y",NA,FALSE,"CRAP2","Oreocarya aperta",NA
"500","Cryptantha breviflora","Oreocarya breviflora","Short- flower Cryptanth","G4","S1","N",NA,FALSE,"CRBR7","Oreocarya breviflora",NA
"501","Cryptantha caespitosa","Oreocarya caespitosa","Caespitose Cat's- eye","G4","S2","N",NA,TRUE,"CRCA7","Oreocarya caespitosa",NA
"502","Cryptantha cana","Oreocarya cana","Mountain Cat's- eye","G5","S2","N",NA,FALSE,"CRCA8","Oreocarya cana",NA
"503","Cryptantha elata","Oreocarya elata","Cliff Dweller's Candlestick Cat's- eye","G3","S2","N",NA,FALSE,"CREL4","Oreocarya elata",NA
"504","Cryptantha longiflora","Oreocarya longiflora","Long- flower Cat's- eye","G3","S3","N",NA,FALSE,"CRLO6","Oreocarya longiflora",NA
"505","Cryptantha mensana","Oreocarya mensana","Southwestern Cat's- eye","G3","S1","N",NA,FALSE,"CRME5","Oreocarya mensana",NA
"506","Cryptantha osterhoutii","Oreocarya osterhoutii","Osterhout Cat's- eye","G2G3","S2","N",NA,TRUE,"CROS","Oreocarya osterhoutii",NA
"507","Cryptantha cinerea var. pustulosa","Oreocarya pustulosa","San Juan Cat's- eye","G5TNR","S1","N",NA,FALSE,"CRCIP","Oreocarya pustulosa",NA
"508","Cryptantha rollinsii","Oreocarya rollinsii","Rollins' Cat's- eye","G3","S2","N",NA,TRUE,"CRRO6","Oreocarya rollinsii",NA
"509","Cryptantha stricta","Oreocarya stricta","Erect Cryptanth","G3","S2","N",NA,FALSE,"CRST5","Oreocarya stricta",NA
"510","Cryptantha weberi","Oreocarya weberi","Weber's Cat's- eye","G3","S3","Y",NA,FALSE,"CRWE2","Oreocarya weberi",NA
"511","Astragalus aretioides","Orophaca aretioides","Cushion Orophaca","G4","S1","N",NA,FALSE,"ASAR3","Astragalus aretioides",NA
"512","Astragalus hyalinus","Orophaca hyalina","Summer Orophaca","G4","S2","N",NA,FALSE,"ASHY2","Astragalus hyalinus",NA
"513","Mirabilis rotundifolia","Oxybaphus rotundifolius","Round- leaf Four- o'clock","G2","S2","Y",NA,FALSE,"MIRO2","Mirabilis rotundifolia",NA
"514","Papaver radicatum ssp. kluanense","Papaver kluanensis","Alpine Poppy","G5T4","S3S4","N",NA,FALSE,"PARAK","Papaver radicatum ssp. kluanense",NA
"515","Cleome multicaulis","Peritoma multicaulis","Slender Spiderflower","G2G3","S2S3","N",NA,TRUE,"CLMU","Cleome multicaulis",NA
"516","Phacelia gina-glenneae","Phacelia gina - glenneae","Troublesome Phacelia","G1","S1","Y",NA,FALSE,"PHGI3","Phacelia gina-glenneae",NA
"517","Phacelia scopulina var. submutica","Phacelia submutica","DeBeque Phacelia","G4T2","S2","Y","LT",FALSE,"PHSCS3","Phacelia scopulina var. submutica",NA
"518","Lesquerella arenosa","Physaria arenosa","Great Plains Bladderpod","G5","S1","N",NA,FALSE,"LEAR6","Physaria arenosa",NA
"519","Lesquerella calcicola","Physaria calcicola","Rocky Mountain Bladderpod","G3","S3","N",NA,FALSE,"LECA9","Physaria calcicola",NA
"520","Lesquerella congesta","Physaria congesta","Dudley Bluffs Bladderpod","G1","S1","Y","LT",FALSE,"LECO10","Physaria congesta",NA
"521","Lesquerella parviflora","Physaria parviflora","Piceance Bladderpod","G2","S2","Y",NA,TRUE,"LEPA10","Physaria parviflora",NA
"522","Lesquerella parvula","Physaria parvula","Pygmy Bladderpod","G3?","S2","N",NA,FALSE,"LEPA7","Physaria parvula",NA
"523","Lesquerella pruinosa","Physaria pruinosa","Pagosa Bladderpod","G2","S2","N",NA,TRUE,"LEPR2","Physaria pruinosa",NA
"524","Lesquerella subumbellata","Physaria subumbellata","Parasol Bladderpod","G3","S2","N",NA,FALSE,"LESU","Physaria subumbellata",NA
"525","Lesquerella vicina","Physaria vicina","Montrose Bladderpod","G2","S2","Y",NA,TRUE,"LEVI22","Physaria vicina",NA
"526","Portulaca halimoides","Portulaca parvula","Dwarf Purslane","G5","S1","N",NA,FALSE,"POHA5","Portulaca halimoides",NA
"527","Sapindus saponaria var. drummondii","Sapindus drummondii","Soapberry","G5T5","S1","N",NA,FALSE,"SASAD","Sapindus saponaria var. drummondii",NA
"528","Sclerocactus mesae-verdae","Sclerocactus mesae - verdae","Mesa Verde Cactus","G2","S2","N","LT",FALSE,"SCME4","Sclerocactus mesae-verdae",NA
"529","Artemisia pygmaea","Seriphidium pygmaeum","Pygmy Sagebrush","G4","S1","N",NA,FALSE,"ARPY2","Artemisia pygmaea",NA
"530","Achnatherum richardsonii","Stipa richardsonii","Richardson Needlegrass","G5","S1","N",NA,FALSE,"ACRI8","Achnatherum richardsonii",NA
"531","Oligoneuron album","Unamia alba","Prairie Goldenrod","G5","S2","N",NA,FALSE,"OLAL2","Solidago ptarmicoides",NA
"532","Symphyotrichum novae-angliae","Virgulus novae - angliae","New England Aster","G5","S2","N",NA,FALSE,"SYNO2","Symphyotrichum novae-angliae",NA
"533","Heteranthera dubia","Zosterella dubia","Grassleaf Mud- plantain","G5","S1","N",NA,FALSE,"HEDU2","Heteranthera dubia",NA
"534","Aquilegia chrysantha var. rydbergii","Aquilegia chrysantha var. rydbergii","Golden Columbine","G4T1Q","S1","Y",NA,TRUE,"AQCHR",NA,NA
"535","Asclepias uncialis","Asclepias uncialis","Dwarf Milkweed","G2","S2","N",NA,TRUE,"ASUN4",NA,NA
"536","Boechera crandallii","Boechera crandallii","Crandall's Rockcress","G3","S3S4","N",NA,TRUE," ARCR5",NA,"Arabis crandallii"
"537","Gilia stenothyrsa","Gilia stenothyrsa","Uinta Basin Gilia","G3","S1","N",NA,TRUE,"ALST12",NA,NA
"538","Mentzelia rhizomata","Nuttallia rhizomata","Roan Cliffs Blazingstar","G2","S2","Y",NA,TRUE,NA,NA,NA
"539","Oreocarya revealii","Oreocarya revealii","Gypsum Valley Cat's- eye","G1G2","S1S2","Y",NA,TRUE,NA,NA,"Cryptantha gypsophila"
"540","Physaria pulvinata","Physaria pulvinata","Cushion Bladderpod","G1","S1","Y",NA,TRUE,NA,NA,NA
